"astro-ph/0202443","Ersin Gogus","Richard Lieu (University of Alabama in Huntsville)","The effect of Planck scale space time fluctuations on Lorentz invariance
  at extreme speeds","Accepted by Astrophysical Journal Letters","Astrophys.J. 568 (2002) L67-L70","10.1086/340377",,"astro-ph gr-qc hep-ex hep-ph hep-th math-ph math.MP",,"  The starting point of this work is the axiomatic existence of a smallest
measurable interval, viz. the Planck time $t_P$, set by quantum fluctuations in
the vacuum metric tensor. By the Relativity Principle, the same limit must then
apply to the accuracy of all clocks which register time of events in their own
frames. Further, it implies that the ordinary meaning of distance also ceases
in the same manner beyond a scale l_P = c t_P. We demonstrate that quantum
space-time, if real, may be made manifest by observing very energetic
collisions, defined as interactions which occurred with the center-of-mass
frame $\Sigma'$ (of the participating bodies) moving at a high speed $v$
relative to our laboratory frame $\Sigma$. In such situations, the initial
conditions of the interaction are determined from direct measurements of the
ultra-energetic particles or photons by instruments aboard $\Sigma$: they
gather a raw dataset ${\cal S}$ which are subject to the limiting uncertainties
\~ (t_P, l_P). Yet a meaningful (i.e. experimentally verified) version of the
interaction is one where the interaction is viewed from frame $\Sigma'$. Since
no instruments aboard $\Sigma'$ have taken any data, the way we proceeded is by
a Lorentz transformation of ${\cal S}$ from $\Sigma$ to $\Sigma'$. Beware
however that the resulting ${\cal S'}$ no longer consists of raw data, i.e.
Lorentz distortions of probability distributions render the uncertainties
non-Planckian - in fact, it will be shown that as v -> c they are >> (t_P,
l_P), and are no longer negligible. Examples will given to indicate how a
proper interpretation of the most current high energy cosmic and gamma-ray data
necessitates incorporation of the said effect.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:18:08 GMT""},{""version"":""v2"",""created"":""Tue, 26 Feb 2002 02:55:04 GMT""}]","2009-11-07"
"astro-ph/0202463","Franceschini","Alberto Franceschini (Padova University), Carol Lonsdale (IPAC), and
  the SWIRE Co-Investigator Team","The SWIRE SIRTF Legacy Program: Studying the Evolutionary Mass Function
  and Clustering of Galaxies","6 pages, Latex, special macros. To appear in the Proceedings of the
  ESO Workshop ""The Mass of Galaxies at Low and High Redshift"", R. Bender and
  A. Renzini Eds., Springer-Verlag Series ""ESO Astrophysics Symposia""",,"10.1007/10899892_80",,"astro-ph",,"  The SIRTF Wide-area Infrared Extragalactic (SWIRE) survey is a ""Legacy
Program"" using 851 hours of SIRTF observing time to conduct a set of large-area
(67 sq. deg. split into 7 fields) high Galactic latitude imaging surveys,
achieving 5-sigma sensitivities of 0.45/2.75/17.5 mJy at 24/70/160 micron with
MIPS and of 7.3/9.7/27.5/32.5 microJy at 3.6/4.5/5.8/8.0 micron with IRAC.
These data will yield highly uniform source catalogs and high-resolution
calibrated images, providing an unprecedented view of the universe on co-moving
scales up to several hundreds Mpc and to substantial cosmological depths
(z\simeq 2.5 for luminous sources). SWIRE will, for the first time, study
evolved stellar systems (from IRAC data) versus active star-forming systems and
AGNs (from MIPS data) in the same volume, generating catalogues with of order
of 2 million infrared-selected galaxies. These fields will have extensive data
at other wavebands, particularly in the optical, near-IR and X-rays. SWIRE will
provide a complement to smaller and deeper observations in the SIRTF Guaranteed
Time and the Legacy Program GOODS, by allowing the investigation of the effect
of environment on galaxy evolution. We expand here on capabilities of SWIRE to
study with IRAC the evolution of the bright end of the galaxy mass function as
a function of cosmic time.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:00:57 GMT""}]","2009-11-07"
"astro-ph/0202464","Alice C. Quillen","A. C. Quillen","Prospecting for spiral structure in the flocculent outer Milky Way Disk
  with color magnitude star counts from the 2 Micron All Sky Survey","submitted to AJ",,"10.1086/341379",,"astro-ph",,"  Using star counts in both color and magnitude from the Two Micron All Sky
Survey (2MASS) Second Incremental Release Point Source Catalog we search for
evidence of non-uniform extinction and stellar population density changes in
the Galactic Plane. Extinction causes the entire main sequence to shift toward
redder colors on a color magnitude diagram. A local increase in the stellar
density causes an increase in the star counts along a line parallel to the main
sequence. We find streaks in star count color magnitude contour plots along the
angle of the main sequence which are likely to be caused by distant gas clouds
and stellar density variations. The distance of a gas cloud or stellar density
change can be estimated from the location of the shift in the star count
contours. We identify features in these diagrams which are coherent across at
least 10 degrees in Galactic longitude. A series of features is seen at the
plausible distance of the expected Perseus spiral arm at a distance of 2 to 4
kpc from the sun. However other features as prominent are found at both at
larger and smaller distances. These structures are over 300 pc in size and so
likely to be associated with large scale coherent structures in the gas
distribution such as weak spiral arms. The presence of multiple and weak spiral
arms, and lack of strong ones suggests that the outer Milky Way is flocculent
in its morphology.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:27:29 GMT""}]","2009-11-07"
"astro-ph/0202465","Asantha R. Cooray","Asantha Cooray","Second Order Corrections to Large Scale Structure Weak Lensing:
  Background Source Clustering","7 pages, 4 figures, MNRAS submitted",,,,"astro-ph",,"  We discuss the second order contributions to lensing statistics resulting
from the clustering of background sources from which galaxy shape measurements
are made in weak lensing experiments. In addition to a previously discussed
contribution to the lensing skewness, background source clustering also
contributes to the two-point correlation function, such as the angular power
spectrum of convergence or shear. At arcminute scales or above, the second
order contribution to the angular power spectrum of convergence due to source
clustering is below the level of a few percent. The background clustering of
sources also results in a non-Gaussian contribution to the power spectrum
covariance of weak lensing convergence through a four-point correlation
function or a trispectrum in Fourier space. The increase in variance is, at
most, a few percent relative to the Gaussian contribution while the band powers
are also correlated at the few percent level. The non-Gaussian contributions
due to background source clustering is at least an order of magnitude smaller
than those resulting from non-Gaussian aspects of the large scale structure due
to the non-linear evolution of gravitational perturbations. We suggest that the
background source clustering is unlikely to affect the precision measurements
of cosmology from upcoming weak lensing surveys.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 21:11:37 GMT""}]","2007-05-23"
"astro-ph/0202466","Matthias Steinmetz","M. Steinmetz (Steward Observatory), Julio F. Navarro (University of
  Victoria)","The Hierarchical Origin of Galaxy Morphologies","9 pages, 5 figures, accepted for publication in New Astronomy","New Astron.7:155-160,2002; Erratum-ibid.8:557-564,2003","10.1016/S1384-1076(02)00102-1",,"astro-ph",,"  We report first results from a series of N-body/gasdynamical simulations
designed to study the origin of galaxy morphologies in a cold dark
matter-dominated universe. The simulations include star formation and feedback
and have numerical resolution sufficiently high to allow for a direct
investigation of the morphology of simulated galaxies. We find, in agreement
with previous theoretical work, that the presence of the main morphological
components of galaxies--disks, spheroids, bars--is regulated by the mode of gas
accretion and intimately linked to discrete accretion events. In the case we
present, disks arise from the smooth deposition of cooled gas at the center of
dark halos, spheroids result from the stirring of preexisting disks during
mergers, and bars are triggered by tides generated by satellites. This
demonstrates that morphology is a transient phenomenon within the lifetime of a
galaxy and that the Hubble sequence reflects the varied accretion histories of
galaxies in hierarchical formation scenarios. In particular, we demonstrate
directly that disk/bulge systems can be built and rebuilt by the smooth
accretion of gas onto the remnant of a major merger and that the present-day
remnants of late dissipative mergers between disks are spheroidal stellar
systems with structure resembling that of field ellipticals. The perplexing
variety of galaxy morphologies is thus highly suggestive of--and may actually
even demand--a universe where structures have evolved hierarchically.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 21:23:42 GMT""}]","2011-05-05"
"astro-ph/0202467","Dana S. Balser","Dana S. Balser, Joseph P. McMullin, & T. L. Wilson","CO Isotopes in Planetary Nebulae","23 pages including 3 figures; accepted for publication in the ApJ",,"10.1086/340309",,"astro-ph",,"  Standard stellar evolution theory is inconsistent with the observed isotopic
carbon ratio, 12C/13C, in evolved stars. This theory is also inconsistent with
the 3He/H abundance ratios observed in Galactic HII regions, when combined with
chemical evolution theory. These discrepancies have been attributed to an
extra, non-standard mixing which further processes material during the RGB and
should lower both the 12C/13C and 3He/H abundance ratios for stars with masses
< 2 solar masses. Measurements of isotopic ratios in planetary nebulae probe
material which escapes the star to be further processed by future generations
of stars.
  We have measured the carbon isotopic abundance ratio, 12C/13C, in 11
planetary nebulae (PNe) by observing the J=2-->1 and J=3-->2 millimeter
transitions of 12CO and 13CO in molecular clouds associated with the PNe. A
large velocity gradient (LVG) model has been used to determine the physical
conditions for each PNe where both transitions have been detected. We detect
both 12CO and 13CO in 9 PNe. If 12CO/13CO = 12C/13C, the range of 12C/13C is
2.2--31. Our results support theories which include some form of extra mixing.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 21:35:32 GMT""}]","2009-11-07"
"astro-ph/0202468","Zeljko Ivezic","M. Juric, Z. Ivezic, H.R. Lupton, T. Quinn, S. Tabachnik, et al","Comparison of Asteroids Observed in the SDSS with a Catalog of Known
  Asteroids","23 pages, color figures, submitted to AJ","Astron.J.124:1776,2002","10.1086/341950",,"astro-ph",,"  We positionally correlate asteroids from existing catalogs with a sample of
$\about$18,000 asteroids detected by the Sloan Digital Sky Survey (SDSS,
Ivezi\'{c} {\em et al.} 2001). We find 2641 unique matches, which represent the
largest sample of asteroids with both accurate multi-color photometry and known
orbital parameters. The matched objects are predominantly bright, and
demonstrate that the SDSS photometric pipeline recovers \about90% of the known
asteroids in the observed region. For the recovered asteroids we find a large
offset (\about 0.4 mag) between Johnson V magnitudes derived from SDSS
photometry and the predicted catalog-based visual magnitudes. This offset
varies with the asteroid color from 0.34 mag for blue asteroids to 0.44 mag for
red asteroids, and is probably caused by the use of unfiltered CCD observations
in the majority of recent asteroid surveys. This systematic photometric error
leads to an overestimate of the number of asteroids brighter than a given
absolute magnitude limit by a factor of \about 1.7. The distribution of the
matched asteroids in orbital parameter space indicates strong color
segregation. We confirm that some families are dominated by a single asteroid
type (e.g. the Koronis family by red asteroids and the Themis family by blue
asteroids), while others appear to be a mixture of blue and red objects (e.g.
the Nysa/Polana family). Asteroids with the bluest \iz colors, which can be
associated with the Vesta family, show particularly striking localization in
orbital parameter space.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 22:29:50 GMT""}]","2008-11-26"
"astro-ph/0202469","Carlos O. Lousto","J. Baker (NASA), M. Campanelli (UT Brownsville), C.O. Lousto (UT
  Brownsville), R. Takahashi (TAC-Denmark)","Modeling gravitational radiation from coalescing binary black holes","23 pages, 36 figures, RevTeX4","Phys.Rev. D65 (2002) 124012","10.1103/PhysRevD.65.124012","UTBRG-2002-001","astro-ph gr-qc hep-th",,"  With the goal of bringing theory, particularly numerical relativity, to bear
on an astrophysical problem of critical interest to gravitational wave
observers we introduce a model for coalescence radiation from binary black hole
systems. We build our model using the ""Lazarus approach"", a technique that
bridges far and close limit approaches with full numerical relativity to solve
Einstein equations applied in the truly nonlinear dynamical regime. We
specifically study the post-orbital radiation from a system of equal-mass
non-spinning black holes, deriving waveforms which indicate strongly circularly
polarized radiation of roughly 3% of the system's total energy and 12% of its
total angular momentum in just a few cycles. Supporting this result we first
establish the reliability of the late-time part of our model, including the
numerical relativity and close-limit components, with a thorough study of
waveforms from a sequence of black hole configurations varying from previously
treated head-on collisions to representative target for ``ISCO'' data
corresponding to the end of the inspiral period. We then complete our model
with a simple treatment for the early part of the spacetime based on a standard
family of initial data for binary black holes in circular orbit. A detailed
analysis shows strong robustness in the results as the initial separation of
the black holes is increased from 5.0 to 7.8M supporting our waveforms as a
suitable basic description of the astrophysical radiation from this system.
Finally, a simple fitting of the plunge waveforms is introduced as a first
attempt to facilitate the task of analyzing data from gravitational wave
detectors.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 23:22:08 GMT""}]","2009-11-07"
"astro-ph/0202470","Tomasz Plewa","Tomek Plewa (1) and Michal Rozyczka (2) ((1) Center for Astrophysical
  Thermonuclear Flashes, University of Chicago, (2) Copernicus Astronomical
  Center, Warsaw, Poland)","Sgr A* and Sgr A East: Intimate Life in the Galactic Center","8 pages, 3 figures, LaTeX, requires newpasp.sty, to appear in Proc.
  Conf. ""Galaxies: the Third Dimension"", ed. M. Rosado, L. Binette and L.
  Arias, ASP Conf. Ser",,,,"astro-ph",,"  A hydrodynamic interaction between an old supernova remnant and a massive
black hole is studied with the help of a high-resolution adaptive mesh
refinement code. A series of multidimensional numerical models is obtained for
a fixed distance between supernova explosion site and the black hole but
different densities of the ambient medium. The interaction between the shell of
the supernova remnant and the black hole results in a rapid increase of the
emission from the vicinity of the black hole. Light curves of the gas heated by
gravitational compression and hydrodynamical interactions are obtained assuming
optically thin conditions. It is shown that the duration of the event and the
peak luminosity critically depend on the density of the ambient medium. The
model is applied to the data obtained by the Chandra satellite for the Galactic
center.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 23:28:02 GMT""}]","2007-05-23"
"astro-ph/0202471","Tim Bedding","T.R. Bedding, H. Kjeldsen, I.K. Baldry, F. Bouchy, R.P. Butler, F.
  Carrier, F. Kienzle, G.W. Marcy, S.J. O'Toole, C.G. Tinney","Solar-Like Oscillations in beta Hydri: Evidence for Short-Lived
  High-Amplitude Oscillations","4 pages, latex, eps figures, To appear in Proc. IAU Colloq. 185:
  ""Radial and Nonradial Pulsations as Probes of Stellar Physics"", edited by C.
  Aerts, T.R. Bedding and J. Christensen-Dalsgaard, ASP Conf. Series, Vol. 259,
  p. 464",,,"TRB-020226","astro-ph",,"  Velocity measurements of the G2 subgiant beta Hyi with both UCLES and CORALIE
show a clear excess of power centred at 1.0 mHz. In the UCLES data we find
evidence for a short-lived, high-amplitude oscillation event. If confirmed as a
feature of subgiants, such `starquakes' would make it harder to measure
accurate mode frequencies and perform asteroseismology.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 01:56:09 GMT""}]","2007-05-23"
"astro-ph/0202472","Tim Bedding","H. Kjeldsen, T. R. Bedding, I. K. Baldry, S. Frandsen, H. Bruntt, F.
  Grundahl, K. Lang, R. P. Butler, D. A. Fischer, G. W. Marcy, A. Misch, S. S.
  Vogt","Confirmation of Solar-Like Oscillations in eta Bootis","2 pages, LaTeX, To appear in Proc. IAU Colloq. 185: ""Radial and
  Nonradial Pulsations as Probes of Stellar Physics"", edited by C. Aerts, T.R.
  Bedding and J. Christensen-Dalsgaard, ASP Conf. Series, Vol. 259, p. 470","ASP Conf.Ser. 259 (2002) 470",,"TRB-020227","astro-ph",,"  We report observations of the G0 subgiant eta Boo made in 1998, in
Balmer-line equivalent width with the 2.5-m Nordic Optical Telescope and in
velocity with the 24-inch Lick CAT. In both data sets we see an excess in the
power spectrum, with oscillation frequencies that confirm the earlier
observations by Kjeldsen et al. (1995).
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 02:08:00 GMT""}]","2007-05-23"
"astro-ph/0202473","Daniel Reichart","Daniel E. Reichart (1), Paul A. Price (1,2) ((1) Caltech, (2) Mount
  Stromlo Observatory)","Evidence for Circumburst Extinction of Gamma-Ray Bursts with Dark
  Optical Afterglows and Evidence for a Molecular Cloud Origin of Gamma-Ray
  Bursts","Invited Review. To appear in Procs. of Gamma-Ray Burst and Afterglow
  Astronomy 2001: A Workshop Celebrating the First Year of the HETE Mission, 8
  pages, 8 figures, LaTeX","AIP Conf.Proc. 662 (2003) 403-410","10.1063/1.1579388",,"astro-ph",,"  First, we show that the gamma-ray bursts with dark optical afterglows (DOAs)
cannot be explained by a failure to image deeply enough quickly enough, and
argue that circumburst extinction is the most likely solution. If so, many DOAs
will be ``revived'' with rapid follow up and NIR searches in the HETE-2 and
Swift eras. Next, we consider the effects of dust sublimation and
fragmentation, and show that DOAs occur in clouds of size R > 10L_{49}^{1/2} pc
and mass M > 3x10^5L_{49} M_{sun}, where L is the luminosity of the optical
flash. Stability considerations show that such clouds cannot be diffuse, but
must be molecular. Consequently, we compute the expected column density
distribution of bursts that occur in Galactic-like molecular clouds, and show
that the column density measurements from X-ray spectra of afterglows, DOAs and
otherwise, satisfy this expectation in the source frame.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 02:49:13 GMT""}]","2009-11-07"
"astro-ph/0202474","Hameury","Valentin Buat-Menard and Jean-Marie Hameury","Superoutbursts, superhumps and the tidal-thermal instability model","Astronomy and Astrophysics, submitted. 8 pages, 5 figures",,"10.1051/0004-6361:20020307",,"astro-ph",,"  We include the tidal instability due to the 3:1 resonance in the disc
instability model developed by Hameury et al. (1998) and modified by
Buat-Menard et al. (2001). We confirm earlier results by Osaki (1989) that the
tidal instability can account for the SU UMa light curves. We show that in
ultra-low mass ratio systems such as ER UMa stars and WZ Sge stars, the
superoutburst ends while the disc is still eccentric, as proposed by Hellier
(2001). However, since the disc shrinks rapidly once a cooling wave has
started, the eccentricity should stop shortly after the end of a superoutburst.
This result disagrees with the suggestion by Hellier that decoupling the
thermal and tidal instability in the TTI model can account for late superhumps
and echo outbursts in ultra-low mass ratio systems. We propose instead that ER
UMa short supercycles can be explained either by the alternation of narrow and
wide outbursts similar to those occurring in SS Cyg, or by the effects of
irradiation (Hameury et al. 2000). In both cases, we predict that superhumps
should be permanent, which is suggested by observations (Gao et al. 1999). We
can also reproduce light curves similar to those of EG Cnc, varying the mass
transfer rate in a TTI model including both irradiation and the presence of an
inner hole in the disc.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 03:20:09 GMT""}]","2009-11-07"
"astro-ph/0202475","Philippe Amram","Philippe Amram & Olivia Garrido","GHASP. A 3D Survey of Spiral and Irregular Galaxies at Halpha.
  Comparison between low and high resolution rotation curves of late-type dwarf
  galaxies","14 pages, including 4 figures and 2 tables. Galaxies: the Third
  Dimension, Cozumel, Mexico 3-7 December 2001",,,,"astro-ph",,"  This survey, once completed, will provide a 3D sample of 200 nearby spiral
and irregular galaxies in the Halpha line, using a Fabry-Perot system. The data
cubes obtained for each galaxy allow derivation of lines maps, velocity fields
and higher momentum. The goals of this survey are: (1) To constitute a 3D local
reference. (2) To constrain the mass distribution. (3) To constrain the
kinematics and dynamics of the internal regions. A data base will be built in
order to provide the whole data to the community.
  The main result presented in this paper is that, for a sample of 19 late-type
dwarfs, the HI rotation curves corrected for beam-smearing effects do not agree
with the high resolution ones obtained with hybrid Halpha/HI data. The beam
smearing correction done on the HI data is on average too strong. The rotation
curves rise even more slowly when using hybrid Halpha/HI data than with HI data
alone.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 07:39:39 GMT""}]","2007-05-23"
"astro-ph/0202476","Thomas Lebzelter","T. Lebzelter, K.H. Hinkle","Periodic and nonperiodic phenomena in AGB stars","4 pages, 3 figures. To be published in ASP Conf. Ser. Vol. 259 (2002)
  ""Radial and Nonradial Pulsations as Probes of Stellar Physics""",,,,"astro-ph",,"  We discuss velocity variations in different layers of an AGB star's
atmosphere. Periodic and nonperiodic changes are observed. From a large sample
of data we derive mean velocity curves for miras and semiregular variables.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 08:48:57 GMT""}]","2007-05-23"
"astro-ph/0202477","Joeri A. G. J. van Leeuwen","A.G.J. van Leeuwen, M.L.A. Kouwenhoven, R. Ramachandran, J.M. Rankin,
  B.W. Stappers","Null-induced mode changes in PSR B0809+74","10 pages, 10 low-res figures, published in Astronomy & Astrophysics.
  High-res versions available at
  http://www.astro.uu.nl/~jleeuwen/preprints/null-ind/ [pdf (2.7M), ps (4.2M)].
  (v2: removed typos)","A&A 387, 169-178 (2002)","10.1051/0004-6361:20020254",,"astro-ph",,"  We have found that there are two distinct emission modes in PSR B0809+74.
Beside its normal and most common mode, the pulsar emits in a significantly
different quasi-stable mode after most or possibly all nulls, occasionally for
over 100 pulses. In this mode the pulsar is brighter, the subpulse separation
is less, the subpulses drift more slowly and the pulse window is shifted
towards earlier longitudes.
  We can now account for several previously unexplained phenomena associated
with the nulling-drifting interaction: the unexpected brightness of the first
active pulse and the low post-null driftrate. We put forward a new
interpretation of the subpulse-position jump over the null, indicating that the
speedup time scale of the post-null drifting is much shorter than previously
thought. The speedup time scale we find is no longer discrepant with the time
scales found for the subpulse-drift slowdown and the emission decay around the
null.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 10:48:24 GMT""},{""version"":""v2"",""created"":""Thu, 2 May 2002 09:03:30 GMT""}]","2009-11-07"
"astro-ph/0202478","Eggenberger Patrick","P. Eggenberger, G. Meynet, A. Maeder","The blue to red supergiant ratio in young clusters at various
  metallicities","7 pages, 2 figures. accepted for publication in A&A",,"10.1051/0004-6361:20020262",,"astro-ph",,"  We present new determinations of the blue to red supergiant ratio ($B/R$) in
young open clusters at various metallicities. For this purpose, we examine the
HR diagrams of 45 clusters in the Galaxy and of 4 clusters in the Magellanic
Clouds. The identification of supergiants is based on spectroscopic
measurements (with photometric counts to check the results). The new counts
confirm the increase of the $B/R$ ratio when the metallicity increases with the
following normalized relation : $\frac{B/R}{(B/R)_{\odot}} \cong 0.05\cdot e^{3
\frac{Z}{Z_{\odot}}}$, where $Z_{\odot}=0.02$ and $(B/R)_{\odot}$ is the value
of $B/R$ at $Z_{\odot}$ which depends on the definition of $B$ and $R$ and on
the age interval considered (e.g. for spectroscopic counts including clusters
with $\log age$ between 6.8 and 7.5, $(B/R)_{\odot}\cong3$ when $B$ includes O,
B and A supergiants).
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:07:06 GMT""}]","2009-11-07"
"astro-ph/0202479","Andrea De Luca","P.A.Caraveo (1), A.De Luca (1,2), N.La Palombara (1), R.Mignani (3),
  E.Hatziminaoglou (3), R.Hartman (4), D.J.Thompson (4) and G.F.Bignami (5)
  ((1) IASF-CNR, Milano, Italy, (2) Universita' di Milano Bicocca, Milano,
  Italy, (3) ESO, Garching, Germany, (4) NASA GSFC, Greenbelt, USA, (5) ASI,
  Roma, Italy)","XMM-Newton and Wide Field Optical Imaging to crack the mystery of
  unidentified gamma-ray sources","LaTeX, 6 pages, 2 Postscript figures. To appear in the Proceedings of
  the Symposium `New Visions of the X-ray Universe in the XMM-Newton and
  Chandra era', 26-30 November 2001, ESTEC, Noordwijk, The Netherlands",,,,"astro-ph",,"  The limited angular resolution of gamma-ray telescopes prevents the straight
identification of the majority of the sources detected so far. While the only
certified galactic gamma-ray emitters are associated with pulsars, more than
90% of the nearly 100 low latitude sources detected by EGRET on the GRO lack an
identification. The best identification strategy devised over the years relies
on the use of X-ray and optical data to single out possible counterparts,
rating them on the basis of their extreme F_x/F_opt. Here we describe our
multiwavelength programme based on the EPIC mapping of selected EGRET sources
complemented by the optical coverage of the same fields obtained through the
Wide Field Imager (WFI) of the ESO 2.2 m telescope. The field of view of the
WFI, comparable to that of EPIC, will allow to directly cross-correlate X and
optical data speeding up significantly the selection of interesting candidates
worth follow-up optical (and X-ray) studies.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:17:45 GMT""}]","2007-05-23"
"astro-ph/0202480","Andrea De Luca","A.De Luca (1,2) and S.Molendi (1) ((1) IASF-CNR, Milano, Italy, (2)
  Universita' di Milano Bicocca, Milano, Italy)","Studying the Cosmic X-ray Background with XMM-Newton","LaTeX, 4 pages, 4 postscript figures. To appear in the Proceedings of
  the Symposium `New Visions of the X-ray Universe in the XMM-Newton and
  Chandra era', 26-30 November 2001, ESTEC, Noordwijk, The Netherlands",,,,"astro-ph",,"  We present a work in progress aimed at measuring the spectrum of the Cosmic
X-ray Background (CXB) with the EPIC detectors onboard XMM-Newton. Our study
includes a detailed characterization of the EPIC non X-ray background, which is
crucial in making a robust measurement of the spectrum of CXB. We present
preliminary results, based on the analysis of a set of Commissioning and
Performance Verification high galactic latitude observations.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:30:06 GMT""}]","2007-05-23"
"astro-ph/0202481","J. S. Kaastra","J.S. Kaastra, K.C. Steenbrugge, A.J.J. Raassen, R.L.J. van der Meer,
  A.C. Brinkman, D.A. Liedahl, E. Behar, A. de Rosa","X-ray spectroscopy of NGC 5548","18 pages, 19 figures, accepted for publication in Astronomy and
  Astrophysics",,"10.1051/0004-6361:20020235",,"astro-ph",,"  We analyze the high-resolution X-ray spectrum of the Seyfert 1 galaxy NGC
5548, for the full 0.1-10 keV band, using improved calibration results of the
Chandra-LETGS instrument. The warm absorber consists of at least three
ionization components, namely one with a low, medium and high ionization
parameter. The X-ray absorbing material, from an outflowing wind, covers the
full range of velocity components found from UV absorption lines. The presence
of redshifted emission components for the strongest blue-shifted resonance
absorption lines indicate that the absorber is located at a distance larger
than the edge of the accretion disk. We derive an upper limit to the edge of
the accretion disk of 1 light year. Absorption lines from ions of at least ten
chemical elements have been detected, and in general for these elements there
are no strong deviations from solar abundances. The narrow emission lines from
the O VII and Ne IX forbidden and intercombination lines probably originate
from much larger distances to the black hole. We find evidence for weak
relativistically broadened oxygen and nitrogen emission lines from the inner
parts of the accretion disk, but at a much smaller flux level than those
observed in some other active galactic nuclei. In addition, there is a broad,
non-relativistic C VI Ly alpha emission line that is consistent with emission
lines from the inner part of the optical/UV broad line region.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:55:35 GMT""}]","2009-11-07"
