"astro-ph/0211036","Vishwakarma R. G.","J.V. Narlikar, R.G. Vishwakarma, Amir Hajian, Tarun Souradeep, G.
  Burbidge and F. Hoyle","Inhomogeneities in the Microwave Background Radiation interpreted within
  the framework of the Quasi-Steady State Cosmology","27 pages, including 5 figures; to appear in Astrophys. J","Astrophys.J. 585 (2003) 1-11","10.1086/345928",,"astro-ph gr-qc hep-th",,"  We calculate the expected angular power spectrum of the temperature
fluctuations in the microwave background radiation (MBR) generated in the
quasi-steady state cosmology (QSSC). The paper begins with a brief description
of how the background is produced and thermalized in the QSSC. We then discuss
within the framework of a simple model, the likely sources of fluctuations in
the background due to astrophysical and cosmological causes. Power spectrum
peaks at $l \approx 6-10$, 180-220 and 600-900 are shown to be related in this
cosmology respectively to curvature effects at the last minimum of the scale
factor, clusters and groups of galaxies. The effect of clusters is shown to be
related to their distribution in space as indicated by a toy model of structure
formation in the QSSC. We derive and parameterize the angular power spectrum
using six parameters related to the sources of temperature fluctuations at
three characteristic scales. We are able to obtain a satisfactory fit to the
observational band power estimates of MBR temperature fluctuation spectrum.
Moreover, the values of `best fit' parameters are consistent with the range of
expected values.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 04:41:55 GMT""}]","2009-11-07"
"math/0211045","Chan-Young Park","Myeong-Ju Jeong, Chan-Young Park","Polynomial invariants and Vassiliev invariants","Published by Geometry and Topology Monographs at
  http://www.maths.warwick.ac.uk/gt/GTMon4/paper7.abs.html","Geom. Topol. Monogr. 4 (2002) 89-101",,,"math.GT",,"  We give a criterion to detect whether the derivatives of the HOMFLY
polynomial at a point is a Vassiliev invariant or not. In particular, for a
complex number b we show that the derivative P_K^{(m,n)}(b,0)=d^m/da^m d^n/dx^n
P_K(a,x)|(a, x) = (b, 0) of the HOMFLY polynomial of a knot K at (b,0) is a
Vassiliev invariant if and only if b= -+1. Also we analyze the space V_n of
Vassiliev invariants of degree <=n for n = 1,2,3,4,5 by using the bar-operation
and the star-operation in [M-J Jeong, C-Y Park, Vassiliev invariants and knot
polynomials, to appear in Topology and Its Applications]. These two operations
are unified to the hat-operation. For each Vassiliev invariant v of degree <=n,
hat(v) is a Vassiliev invariant of degree <=n and the value hat(v)K) of a knot
K is a polynomial with multi-variables of degree <=n and we give some questions
on polynomial invariants and the Vassiliev invariants.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:28:09 GMT""}]","2007-05-23"
"math/0211046","Thierry Huillet","Francois Dunlop, Thierry Huillet","Hard rods: statistics of parking configurations","9 pages, 1 figure",,"10.1016/S0378-4371(03)00065-7",,"math.PR",,"  We compute the correlation function in the equilibrium version of R\'enyi's
{\sl parking problem}. The correlation length is found to diverge as
$2^{-1}\pi^{-2}(1-\rho)^{-2}$ when $\rho\nearrow1$ (maximum density) and as
$\pi^{-2}(2\rho-1)^{-2}$ when $\rho\searrow1/2$ (minimum density).
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 13:03:58 GMT""}]","2009-11-07"
"math/0211047","Do Ngoc Diep","Do Ngoc Diep (VN-Hmi)","Category of Noncommutative CW complexes. III","LaTeX2e, 10 pages, no figure",,,,"math.QA math.FA math.KT math.OA",,"  We prove in this paper a noncommutative version of Leray Spectral Sequence
Theorem and then Leray-Serre Spectral Theorem for noncommutative Serre
fibrations: for NC Serre fibration there are converging spectral sequences with
$\E^2$ terms as $\E^2_{p,q} = \HP_p(A; \HP_q(B,A)) \Longrightarrow
\HP_{p+q}(B)$ and $\E^2_{p,q} = \HP_p(A;\K_q(B,A)) \Longrightarrow
\K_{p+q}(B)$.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 13:50:13 GMT""},{""version"":""v2"",""created"":""Mon, 14 Jul 2003 14:11:45 GMT""},{""version"":""v3"",""created"":""Tue, 3 Jul 2007 15:28:12 GMT""}]","2007-07-03"
"math/0211050","Andre de Carvalho","Andr\'e de Carvalho and Miguel Paternain","Monotone quotients of surface diffeomorphisms","14 pages, 4 figures",,,"Stony Brook IMS #2002/04","math.DS math.GT",,"  A homeomorphism of a compact metric space is {\em tight} provided every
non-degenerate compact connected (not necessarily invariant) subset carries
positive entropy. It is shown that every $C^{1+\alpha}$ diffeomorphism of a
closed surface factors to a tight homeomorphism of a generalized cactoid
(roughly, a surface with nodes) by a semi-conjugacy whose fibers carry zero
entropy.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 14:42:37 GMT""}]","2007-05-23"
"math/0211051","Gerald Teschl","J. Michor and G. Teschl","Reconstructing Jacobi Matrices from Three Spectra",,"Spectral Methods for Operators of Mathematical Physics, J. Janas,
  P. Kurasov, and S. Naboko (eds.), 151-154, Oper. Theory Adv. Appl., 154,
  Birkh\~A?user, Basel, 2004","10.1007/978-3-0348-7947-7_9",,"math.SP",,"  Cut a Jacobi matrix into two pieces by removing the n-th column and n-th row.
We give neccessary and sufficient conditions for the spectra of the original
matrix plus the spectra of the two submatrices to uniqely determine the
original matrix. Our result contains Hostadt's original result as a special
case.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:08:53 GMT""}]","2015-09-29"
"math/0211052","Harald Hengelbrock","Harald Hengelbrock","Quantum cohomology of Grassmannians modulo symmetries","11 pages, presented at the 2002 Fall AMS Eastern Section Meeting on
  ring structures in Schubert calculus,Northeastern University, Boston,October
  5-6, 2002",,,,"math.AG math.CO",,"  The quantum cohomology of Grassmannians exhibits two symmetries related to
the quantum product, namely a \Bbb {Z}/n action and an involution related to
complex conjugation. We construct a new ring by dividing out these symmetries
in an ideal theoretic way and analyze its structure, which is shown to control
the sum of all coefficients appearing in the product of cohomology classes. We
derive a combinatorial formula for the sum of all Littlewood-Richardson
coefficients appearing in the expansion of a product of two Schur polynomials.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:10:16 GMT""}]","2007-05-23"
"math/0211053","Riccardo Benedetti","Stephane Baseilhac, Riccardo Benedetti","QHI, 3-manifolds scissors congruence classes and the volume conjecture","Published by Geometry and Topology Monographs at
  http://www.maths.warwick.ac.uk/gt/GTMon4/paper2.abs.html","Geom. Topol. Monogr. 4 (2002) 13-28",,,"math.GT math.QA",,"  This is a survey of our work on Quantum Hyperbolic Invariants (QHI) of
3-manifolds. We explain how the theory of scissors congruence classes is a
powerful geometric framework for QHI and for a `Volume Conjecture' to make
sense.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:38:20 GMT""}]","2007-05-23"
"math/0211054","S. Berceanu","S. Berceanu, A. Gheorghe","Differential operators on orbits of coherent states","10 pages. Submitted to the Proceedings of the First National Romanian
  Conference on Theoretical Physics, September 13-16, 2002, Magurele,
  Bucharest, Romania",,,,"math.DG",,"  We emphasize some properties of coherent state groups, i.e. groups whose
quotient with the stationary groups, are manifolds which admit a holomorphic
embedding in a projective Hilbert space. We determine the differential action
of the generators of the representation of coherent state groups on the
symmetric Fock space attached to the dual of the Hilbert space of the
representation. This permits a realization by first-order differential
operators with holomorphic polynomial coefficients on K\""ahler coherent state
orbits.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:38:43 GMT""}]","2007-05-23"
"math/0211055","Ettore Aldrovandi","Ettore Aldrovandi (Department of Mathematics, Florida State
  University)","On hermitian-holomorphic classes related to uniformization, the
  dilogarithm, and the Liouville Action","AMSLatex + XYpic + geometry. Some substantial changes in exposition,
  same results. Version to appear in Communications in Mathematical Physics","Commun.Math.Phys. 251 (2004) 27-64","10.1007/s00220-004-1168-6","FSU02-41","math.CV hep-th math-ph math.AG math.KT math.MP",,"  Metrics of constant negative curvature on a compact Riemann surface are
critical points of the Liouville action functional, which in recent
constructions is rigorously defined as a class in a Cech-de Rham complex with
respect to a suitable covering of the surface.
  We show that this class is the square of the metrized holomorphic tangent
bundle in hermitian-holomorphic Deligne cohomology. We achieve this by
introducing a different version of the hermitian-holomorphic Deligne complex
which is nevertheless quasi-isomorphic to the one introduced by Brylinski in
his construction of Quillen line bundles. We reprove the relation with the
determinant of cohomology construction.
  Furthermore, if we specialize the covering to the one provided by a Kleinian
uniformization (thereby allowing possibly disconnected surfaces) the same class
can be reinterpreted as the transgression of the regulator class expressed by
the Bloch-Wigner dilogarithm.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:40:00 GMT""},{""version"":""v2"",""created"":""Tue, 10 Dec 2002 19:16:45 GMT""},{""version"":""v3"",""created"":""Fri, 9 Jul 2004 14:40:47 GMT""}]","2009-11-07"
"math/0211056","Toshitake Kohno","Toshitake Kohno","Loop spaces of configuration spaces and finite type invariants","Published by Geometry and Topology Monographs at
  http://www.maths.warwick.ac.uk/gt/GTMon4/paper10.abs.html Version 2:
  corrections to superscripts on pages 148 and 149","Geom. Topol. Monogr. 4 (2002) 143-160",,,"math.AT math.GT",,"  The total homology of the loop space of the configuration space of ordered
distinct n points in R^m has a structure of a Hopf algebra defined by the
4-term relations if m>2. We describe a relation of between the cohomology of
this loop space and the set of finite type invariants for the pure braid group
with n strands. Based on this we give expressions of certain link invariants as
integrals over cycles of the above loop space.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:42:38 GMT""},{""version"":""v2"",""created"":""Tue, 9 Sep 2003 13:53:38 GMT""}]","2007-05-23"
"math/0211057","Andrew Kricker","Andrew Kricker","A surgery formula for the 2-loop piece of the LMO invariant of a pair","Published by Geometry and Topology Monographs at
  http://www.maths.warwick.ac.uk/gt/GTMon4/paper11.abs.html","Geom. Topol. Monogr. 4 (2002) 161-181",,,"math.GT",,"  Let \Theta (M,K) denote the 2-loop piece of (the logarithm of) the LMO
invariant of a knot K in M, a ZHS^3. Forgetting the knot (by which we mean
setting diagrams with legs to zero) specialises \Theta (M,K) to \lambda (M),
Casson's invariant. This note describes an extension of Casson's surgery
formula for his invariant to \Theta (M,K). To be precise, we describe the
effect on \Theta (M,K) of a surgery on a knot which together with K forms a
boundary link in M. Whilst the presented formula does not characterise \Theta
(M,K), it does allow some insight into the underlying topology.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:45:50 GMT""}]","2007-05-23"
"math/0211058","Neil Strickland","Neil P. Strickland","Multicurves and equivariant cobordism","73 pages. This version is generally reorganised with numerous
  expository improvements, and a new section about transfers and the Burnside
  ring",,,,"math.AT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Let A be a finite abelian group. We set up an algebraic framework for
studying A-equivariant complex-orientable cohomology theories in terms of a
suitable kind of equivariant formal groups. We compute the equivariant
cohomology of many spaces in these terms, including projective bundles (and
associated Gysin maps), Thom spaces, and infinite Grassmannians.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:48:10 GMT""},{""version"":""v2"",""created"":""Fri, 14 Nov 2008 21:05:30 GMT""}]","2008-11-14"
"nlin/0211001","Julyan Cartwright","Julyan H. E. Cartwright","Labyrinthine Turing Pattern Formation in the Cerebral Cortex","See home page http://lec.ugr.es/~julyan","J. Theor. Biol. 217, 97-103, 2002","10.1006/jtbi.2002.3012",,"nlin.PS physics.bio-ph q-bio",,"  I propose that the labyrinthine patterns of the cortices of mammalian brains
may be formed by a Turing instability of interacting axonal guidance species
acting together with the mechanical strain imposed by the interconnecting
axons.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:23:46 GMT""}]","2012-07-24"
"nucl-th/0211004","Giampaolo Co'","Marta Anguiano, Giampaolo Co' (Lecce) and Antonio M. Lallena (Granada)","Two-proton emission induced by electron scattering","5 pages, 4 Postscript figures, Contribution to the IX Convegno su
  Problemi di Fisica Nucleare Teorica Cortona, Italy, Oct. 9-12 2002",,,,"nucl-th",,"  We present a model to describe the emission of two protons in electron
scattering experiments. The process is induced by one-body electromagnetic
operators acting together with short-range correlations, and by two-body Delta
currents. The model includes all the diagrams containing a single correlation
function. The sensitivity of the cross section to the details of the
correlation function is studied by using realistic and schematic correlations.
Results for the 16O nucleus are presented.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 09:00:23 GMT""}]","2007-05-23"
"nucl-th/0211005","Giampaolo Co'","Giampaolo Co' (Lecce)","Short-range correlations in finite nuclear systems","12 pages, 10 Postscript figures, Contribution to the International
  Workshop on Nuclear Theory, Rila Mountains, Bulgaria 10 to June 15, 2002",,,,"nucl-th",,"  Recent results concerning the use of the Correlated Basis Function to
investigate the ground state properties of medium-heavy doubly magic nuclei
with microscopic interactions are presented. The calculations have been done by
considering a Short-Range Correlation between nucleons. The possibility of
identifying effects produced by Short-Range Correlations in electromagnetically
induced phenomena is discussed.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 09:19:39 GMT""}]","2007-05-23"
"nucl-th/0211006","Maria Barbaro","M.B. Barbaro (U, of Turin, Italy)","Gauge and Lorentz invariant pionic correlations in quasi-elastic
  electron scattering","14 pages, 4 figures, Proceedings of the Varenna School ""From Nuclei
  and Thier Constituents to Stars"", August 2002",,,,"nucl-th hep-ph",,"  The role of the pion in the parity-conserving and parity-violating
quasi-elastic nuclear response functions is analyzed within a relativistic
model which fulfills gauge invariance.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:36:57 GMT""},{""version"":""v2"",""created"":""Wed, 6 Nov 2002 09:10:29 GMT""}]","2007-05-23"
"nucl-th/0211007","Carlotta Giusti","C. Giusti and F.D. Pacati (Univ. of Pavia, Italy)","Meson exchange currents in electromagnetic one-nucleon emission","9 pages, 6 figures",,"10.1103/PhysRevC.67.044601",,"nucl-th",,"  The role of meson exchange currents (MEC) in electron- and photon-induced
one-nucleon emission processes is studied in a nonrelativistic model including
correlations and final state interactions. The nuclear current is the sum of a
one-body and of a two-body part. The two-body current includes pion seagull,
pion-in-flight and the isobar current contributions. Numerical results are
presented for the exclusive 16O(e,e'p)15N and 16O(\gamma,p)15N reactions. MEC
effects are in general rather small in (e,e'p), while in (\gamma,p) they are
always large and important to obtain a consistent description of (e,e'p) and
(\gamma,p) data, with the same spectroscopic factors. The calculated (\gamma,p)
cross sections are sensitive to short-range correlations at high values of the
recoil momentum, where MEC effects are larger and overwhelm the contribution of
correlations.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:44:48 GMT""}]","2009-11-07"
"nucl-th/0211008","Hartmut M. Hofmann","Hartmut M. Hofmann (Univ. Erlangen, Germany) and Gerald M. Hale (LANL,
  USA)","Three-Nucleon Force in the 4He Scattering System","9 pages, 4 figures, HLRB/Konwihr workshop, Oct. 10-11, 2002,
  Garching/Germany, uses svmult.cls style",,,"FAU-TP3-02/21","nucl-th",,"  We report on a consistent, microscopic calculation of the bound and
scattering states in the 4He system employing modern realistic two-nucleon and
three-nucleon potentials in the framework of the resonating group model (RGM).
We present for comparison with these microscopic RGM calculations the results
from a charge-independent, Coulomb-corrected R-matrix analysis of all types of
data for reactions in the A=4 system. Comparisons are made for selected
examples of phase shifts and measurements from reactions sensitive to
three-nucleon force effects.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:01:58 GMT""}]","2007-05-23"
"physics/0211010","Benny Lautrup","S. Lehmann, B. Lautrup, A. D. Jackson (The Niels Bohr Institute)","Citation Networks in High Energy Physics","9 pages, 6 figures, 2 tables","Phys.Rev. E68 (2003) 026113","10.1103/PhysRevE.68.026113",,"physics.soc-ph hep-ph hep-th",,"  The citation network constituted by the SPIRES data base is investigated
empirically. The probability that a given paper in the SPIRES data base has $k$
citations is well described by simple power laws, $P(k) \propto k^{-\alpha}$,
with $\alpha \approx 1.2$ for $k$ less than 50 citations and $\alpha \approx
2.3$ for 50 or more citations. Two models are presented that both represent the
data well, one which generates power laws and one which generates a stretched
exponential. It is not possible to discriminate between these models on the
present empirical basis. A consideration of citation distribution by subfield
shows that the citation patterns of high energy physics form a remarkably
homogeneous network. Further, we utilize the knowledge of the citation
distributions to demonstrate the extreme improbability that the citation
records of selected individuals and institutions have been obtained by a random
draw on the resulting distribution.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 14:45:55 GMT""},{""version"":""v2"",""created"":""Tue, 25 Mar 2003 13:01:41 GMT""}]","2009-11-07"
"physics/0211013","Allahyaroff","S. A. Trigger and A. G. Zagorodny","Brownian Motion of Grains and Negative Friction in Dusty Plasmas","submitted to Phys.Rev.Lett. on 27 September 2002. 4 pages with 4
  figures included",,,,"physics.plasm-ph",,"  Within the approximation of dominant charging collisions the explicit
microscopic calculations of the Fokker-Planck kinetic coefficients for
highly-charged grains moving in plasma are performed. It is shown that due to
ion absorption by grain the friction coefficient can be negative and the
appropriate threshold value of the grain charge is found. The stationary
solutions of the Fokker-Planck equation with the velocity dependent kinetic
coefficient are obtained and the considerable deviation of such solutions from
the Maxwellian distribution is established.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 16:15:25 GMT""}]","2007-05-23"
"physics/0211014","Jerome Esteve","J. Esteve, D. Stevens, V. Savalli, N. Westbrook, C. I. Westbrook and
  A. Aspect","Resolved diffraction patterns from a reflection grating for atoms","8 pages, 4 figures","J. Opt. B: Quantum Semiclass. Opt. 5 S103-S106 (2003)","10.1088/1464-4266/5/2/365",,"physics.atom-ph",,"  We have studied atomic diffraction at normal incidence from an evanescent
standing wave with a high resolution using velocity selective Raman
transitions. We have observed up to 3 resolved orders of diffraction, which are
well accounted for by a scalar diffraction theory. In our experiment the
transverse coherence length of the source is greater than the period of the
diffraction grating.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:07:33 GMT""}]","2007-05-23"
"quant-ph/0211010","Rui Qi","Rui Qi","Collapse helps to probe the structure of particles","4 pages, no figures",,,,"quant-ph",,"  We present a possible method to probe the inner structure of particles based
on one kind of promising dynamical collapse theory. It is shown that the
present decay data of KL meson indicates that quarks have no inner structure.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 03:17:16 GMT""}]","2007-05-23"
"quant-ph/0211012","Milos V. Lokajicek","Milos V. Lokajicek","Quantum mechanics and EPR paradox","8 pages incl. 3 figures",,,"FZU-D 20020206","quant-ph",,"  The orthodox quantum mechanics has been commonly regarded as being supported
decisively by the polarization EPR experiments, in which Bell's inequalities
have been violated. The given conclusion has been based, however, on several
mistakes that have not been yet commonly known and sufficiently analyzed. The
whole problem will be newly discussed and a corresponding solution will be
proposed.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:45:28 GMT""}]","2007-05-23"
"quant-ph/0211013","H. J. Kimble","J. McKeever, J. R. Buck, A. D. Boozer, A. Kuzmich, H.-C. Naegerl, D.
  M. Stamper-Kurn, and H. J. Kimble","State-Insensitive Cooling and Trapping of Single Atoms in an Optical
  Cavity","5 pages, 4 figures Revised version to appear in Phys. Rev. Lett",,"10.1103/PhysRevLett.90.133602",,"quant-ph",,"  Single Cesium atoms are cooled and trapped inside a small optical cavity by
way of a novel far-off-resonance dipole-force trap (FORT), with observed
lifetimes of 2 to 3 seconds. Trapped atoms are observed continuously via
transmission of a strongly coupled probe beam, with individual events lasting ~
1 s. The loss of successive atoms from the trap N = 3 -> 2 -> 1 -> 0 is thereby
monitored in real time. Trapping, cooling, and interactions with strong
coupling are enabled by the FORT potential, for which the center-of-mass motion
is only weakly dependent on the atom's internal state.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 14:04:44 GMT""},{""version"":""v2"",""created"":""Sun, 16 Feb 2003 00:36:36 GMT""}]","2009-11-07"
