"astro-ph/0211626",,"Daniela Carturan, Fabio Finelli","Cosmological Effects of a Class of Fluid Dark Energy Models","4 pages, 6 figures","Phys.Rev. D68 (2003) 103501","10.1103/PhysRevD.68.103501",,"astro-ph gr-qc hep-ph hep-th",,"  We study the impact of a generalized Chaplygin gas as a candidate for dark
energy on CMB anisotropies. The generalized Chaplygin gas is a fluid component
with an exotic equation of state, $p = - A/\rho^\alpha$ (a polytropic gas with
negative constant and exponent). Such component interpolates in time between
dust and a cosmological constant, with an intermediate behaviour as $p=\alpha
\rho$. Perturbations of this fluid are stable on small scales, but behave in a
very different way with respect to standard quintessence. Moreover, a
generalized Chaplygin gas could also represent an archetypal example of a
phenomenological unified models of dark energy and dark matter. The results
presented here show how the CMB anisotropies induced by this class of models
differ from a $\Lambda$CDM model.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:25:34 GMT""}]","2009-11-07"
"hep-ph/0211460","Frieder Kleefeld","F. Kleefeld (CFIF, IST, Lisbon, Portugal)","Consistent relativistic Quantum Theory for systems/particles described
  by non-Hermitian Hamiltonians and Lagrangians","14 pages, no figures; invited contribution to the 2nd Int. Workshop
  on ""Hadron Physics, Effective Theories of Low Energy QCD"", CFT, Coimbra
  University, Portugal, September 25-29, 2002; ref. 15 updated","AIP Conf.Proc.660:325-338,2003","10.1063/1.1570583","FK-2002-4","hep-ph",,"  A causal, non-Hermitian, renormalizable, local, unitary and Lorentz
convariant formulation of Quantum Theory (QT) (= Quantum Mechanics (QM) and
Quantum Field Theory (QFT)) is developed which is free of formalistic problems
we face in the commonly used Hermitian formulation of QT. Side effects of the
new formulation of QT are the derivation of a consistent (anti)causal neutrino
Lagrangian, the enrichment of chiral symmetries, the removal of the Dirac sea,
the separation of positive and negative energy states including a reformulation
of the anti-particle concept and a critical analysis of the concept of
probability currents. In a first step we apply the new formulation of QT to
establish a relation between perturbative Quantum Chromodynamics (QCD) and the
(axial)vector meson extended Quark-Level Linear Sigma Model (QLLSM) at high
energies.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 15:17:23 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 2002 16:39:57 GMT""},{""version"":""v3"",""created"":""Thu, 5 Dec 2002 15:22:32 GMT""},{""version"":""v4"",""created"":""Thu, 6 Feb 2003 23:12:14 GMT""}]","2011-07-19"
"hep-th/0211274","Yuji Tachikawa","Yuji Tachikawa (Univ. of Tokyo)","Derivation of the linearity principle of Intriligator-Leigh-Seiberg","7 pages, no figures; v2: a few clarifications and references added","Prog.Theor.Phys. 110 (2003) 841-846","10.1143/PTP.110.841","UT-02-62","hep-th",,"  Utilizing the techniques recently developed for N=1 super Yang-Mills theories
by Dijkgraaf, Vafa and collaborators, we derive the linearity principle of
Intriligator, Leigh and Seiberg, for the confinement phase of the theories with
semi-simple gauge groups and matters in a non-chiral representation which
satisfies a further technical assumption.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:55:37 GMT""},{""version"":""v2"",""created"":""Mon, 16 Dec 2002 15:34:20 GMT""}]","2009-11-07"
"hep-th/0211280",,"Dmitrij V. Soroka and Vyacheslav A. Soroka","Exterior Differentials in Superspace and Poisson Brackets","12 pages, LATEX 2e, JHEP format. Correction of misprints. The titles
  for some references are added","JHEP 0303 (2003) 001","10.1088/1126-6708/2003/03/001",,"hep-th math-ph math.DG math.GR math.MP math.SG",,"  It is shown that two definitions for an exterior differential in superspace,
giving the same exterior calculus, yet lead to different results when applied
to the Poisson bracket. A prescription for the transition with the help of
these exterior differentials from the given Poisson bracket of definite
Grassmann parity to another bracket is introduced. It is also indicated that
the resulting bracket leads to generalization of the Schouten-Nijenhuis bracket
for the cases of superspace and brackets of diverse Grassmann parities. It is
shown that in the case of the Grassmann-odd exterior differential the resulting
bracket is the bracket given on exterior forms. The above-mentioned transition
with the use of the odd exterior differential applied to the linear even/odd
Poisson brackets, that correspond to semi-simple Lie groups, results,
respectively, in also linear odd/even brackets which are naturally connected
with the Lie superalgebra. The latter contains the BRST and anti-BRST charges
and can be used for calculation of the BRST operator cohomology.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 16:29:15 GMT""},{""version"":""v2"",""created"":""Tue, 18 Feb 2003 15:10:28 GMT""},{""version"":""v3"",""created"":""Mon, 24 Mar 2003 18:04:09 GMT""}]","2009-11-07"
"hep-th/0211281","Michele Trapletti","M. Trapletti","On the unfolding of the fundamental region in integrals of modular
  invariant amplitudes","10 pages, 2 figures","JHEP 0302 (2003) 012","10.1088/1126-6708/2003/02/012","SISSA-88/2002/EP","hep-th",,"  We study generic one-loop (string) amplitudes where an integration over the
fundamental region F of the modular group is needed. We show how the known
lattice-reduction technique used to unfold F to a more suitable region S can be
modified to rearrange generic modular invariant amplitudes. The main aim is to
unfold F to the strip and, at the same time, to simplify the form of the
integrand when it is a sum over a finite number of terms, like in one-loop
amplitudes for closed strings compactified on orbifolds. We give a general
formula and a recipe to compute modular invariant amplitudes. As an application
of the technique we compute the one-loop vacuum energy \rho_n for a generic
\Z_n freely acting orbifold, generalizing the result that this energy is less
than zero and drives the system to a tachyonic divergence, and that
\rho_n<\rho_m if n>m.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 16:55:48 GMT""}]","2009-11-07"
"hep-th/0211282","Konishi","Roberto Auzzi (Scuola Normale Superiore, Pisa), Roberto Grena (Univ.
  Pisa), Kenichi Konishi (Univ. Pisa)","Almost Conformal Vacua and Confinement","27 pages, 11 figures, LaTex file","Nucl.Phys. B653 (2003) 204-226","10.1016/S0550-3213(03)00046-4","IFUP-TH 2002/46","hep-th",,"  Dynamics of confining vacua which appear as deformed superconformal theory
with a non-Abelian gauge symmetry, is studied by taking a concrete example of
the sextet vacua of ${\cal N}=2$, SU(3) gauge theory with $n_f=4$, with equal
quark masses. We show that the low-energy ""matter"" degrees of freedom of this
theory consist of four magnetic monopole doublets of the low-energy effective
SU(2) gauge group, one dyon doublet, and one electric doublet. We find a
mechanism of cancellation of the beta function, which naturally but
nontrivially generalizes that of Argyres-Douglas. Study of our SCFT theory as a
limit of six colliding ${\cal N}=1$ vacua, suggests that the confinement in the
present theory occurs in an essentially different manner from those vacua with
dynamical Abelianization, and involves strongly interacting non-Abelian
magnetic monopoles.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:04:33 GMT""}]","2010-04-05"
"hep-th/0211283","Alexander Sorin","L. Bonora, A.S. Sorin","Integrable Structures in String Field Theory","11 pages; v.2:some adjustments, some explicit equations added","Phys.Lett. B553 (2003) 317-324","10.1016/S0370-2693(02)03229-X","SISSA 85/2002/EP","hep-th math-ph math.MP nlin.SI",,"  We give a simple proof that the Neumann coefficients of surface states in
Witten's SFT satisfy the Hirota equations for dispersionless KP hierarchy. In a
similar way we show that the Neumann coefficients for the three string vertex
in the same theory obey the Hirota equations of the dispersionless Toda Lattice
hierarchy. We conjecture that the full (dispersive) Toda Lattice hierachy and,
even more attractively a two--matrix model, may underlie open SFT.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:26:25 GMT""},{""version"":""v2"",""created"":""Tue, 3 Dec 2002 12:35:53 GMT""}]","2010-04-05"
"hep-th/0211284","Rolf Schimmrigk","Rolf Schimmrigk, Sean Underwood","The Shimura-Taniyama Conjecture and Conformal Field Theory",,"J.Geom.Phys.48:169,2003","10.1016/S0393-0440(03)00030-5","NSF-ITP-02-159","hep-th math.AG",,"  The Shimura-Taniyama conjecture states that the Mellin transform of the
Hasse-Weil L-function of any elliptic curve defined over the rational numbers
is a modular form. Recent work of Wiles, Taylor-Wiles and
Breuil-Conrad-Diamond-Taylor has provided a proof of this longstanding
conjecture. Elliptic curves provide the simplest framework for a class of
Calabi-Yau manifolds which have been conjectured to be exactly solvable. It is
shown that the Hasse-Weil modular form determined by the arithmetic structure
of the Fermat type elliptic curve is related in a natural way to a modular form
arising from the character of a conformal field theory derived from an affine
Kac-Moody algebra.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:03:27 GMT""}]","2014-11-18"
"hep-th/0211285","Mohammad Sheikh-Jabbari","Mohsen Alishahiha, Mohammad M. Sheikh-Jabbari, Radu Tatar","Spacetime Quotients, Penrose Limits and Conformal Symmetry Restoration","Latex file, 19 pp, no figures; v2: A Reference added","JHEP 0301:028,2003","10.1088/1126-6708/2003/01/028","IPM/P-2002/061, UCB-PTH-02/54, LBNL-51767","hep-th",,"  In this paper we study the Penrose limit of AdS_5 orbifolds. The orbifold can
be either in the pure spatial directions or space and time directions. For the
AdS_5/\Gamma\times S^5 spatial orbifold we observe that after the Penrose limit
we obtain the same result as the Penrose limit of AdS_5\times S^5/\Gamma. We
identify the corresponding BMN operators in terms of operators of the gauge
theory on R\times S^3/\Gamma. The semi-classical description of rotating
strings in these backgrounds have also been studied. For the spatial AdS
orbifold we show that in the quadratic order the obtained action for the
fluctuations is the same as that in S^5 orbifold, however, the higher loop
correction can distinguish between two cases.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 22:20:51 GMT""},{""version"":""v2"",""created"":""Mon, 9 Dec 2002 20:33:29 GMT""}]","2009-11-07"
"hep-th/0211286","Peter Matlock","Peter Matlock","Butterfly Tachyons in Vacuum String Field Theory","14 pages, 6 figures, revtex","Phys.Rev. D67 (2003) 086002","10.1103/PhysRevD.67.086002",,"hep-th",,"  We use geometrical conformal field theory methods to investigate tachyon
fluctuations about the butterfly projector state in Vacuum String Field Theory.
We find that the on-shell condition for the tachyon field is equivalent to the
requirement that the quadratic term in the string-field action vanish on shell.
This further motivates the interpretation of the butterfly state as a D-brane.
We begin a calculation of the tension of the butterfly, and conjecture that
this will match the case of the sliver and further strengthen this
interpretation.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 00:39:09 GMT""}]","2009-11-07"
"hep-th/0211287","Yutaka Ookouchi","Yutaka Ookouchi","N=1 Gauge Theory with Flavor from Fluxes","16 pages, no figure, v4: presentations and typos corrected. many
  thanks to the referee","JHEP 0401 (2004) 014","10.1088/1126-6708/2004/01/014",,"hep-th",,"  Cachazo and Vafa studied $\mathcal{N}=1$ dynamics of U(N) gauge theory from a
viewpoint of type IIB superstring compactified on a Calabi-Yau manifold with
fluxes. They proved the equivalence between the dynamics and that of
$\mathcal{N}=2$ supersymmetric U(N) gauge theory deformed by certain
superpotential terms. We generalize their results to gauge theories with
massive flavors in fundamental representation for classical gauge groups. When
the additional tree level superpotential takes the form of the square of an
adjoint chiral superfield we derive Affleck-Dine-Seiberg potentials. By turning
off the flux, we obtain the Seiberg-Witten curves of $\mathcal{N}=2$ gauge
theories.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 06:39:58 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 2002 05:58:56 GMT""},{""version"":""v3"",""created"":""Thu, 27 Feb 2003 08:21:17 GMT""},{""version"":""v4"",""created"":""Mon, 15 Dec 2003 03:56:53 GMT""}]","2009-11-07"
"hep-th/0211288","Cemsinan Deliduman","Cemsinan Deliduman","AdS_2 D-Branes in Lorentzian AdS_3","20 pages, Latex, no figures. v2: comments and references added","Phys.Rev. D68 (2003) 066006","10.1103/PhysRevD.68.066006",,"hep-th",,"  The boundary states for AdS_2 D-branes in Lorentzian AdS_3 space-time are
presented. AdS_2 D-branes are algebraically defined by twisted Dirichlet
boundary conditions and are located on twisted conjugacy classes of SL(2,R).
Using free field representation of symmetry currents in the SL(2,R) WZNW model,
the twisted Dirichlet gluing conditions among currents are translated to
matching conditions among free fields and then to boundary conditions among the
modes of free fields. The Ishibashi states are written as coherent states on
AdS_3 in the free field formalism and it is shown that twisted Dirichlet
boundary conditions are satisfied on them. The tree-level amplitude of
propagation of closed strings between two AdS_2 D-branes is evaluated and by
comparing which to the characters of sl(2,R) Kac-Moody algebra it is shown that
only states in the principal continuous series representation of sl(2,R)
Kac-Moody algebra contributes to the amplitude and thus they are the only ones
that couple to AdS_2 D-branes. The form of the character of sl(2,R) principal
continuous series and the boundary condition among the zero modes are used to
determine the physical boundary states for AdS_2 D-branes.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:28:41 GMT""},{""version"":""v2"",""created"":""Tue, 25 Feb 2003 18:04:28 GMT""}]","2009-11-07"
"math-ph/0211068","A. D. Alhaidari","A. D. Alhaidari","On the relativistic two-point Green's function","9 pages; various errors were corrected",,,,"math-ph math.MP",,"  Using a recently developed approach for solving the three dimensional Dirac
equation with spherical symmetry, we obtain simple representations for the
Green's function of the Dirac-Oscillator and Dirac-Coulomb problems. This is
accomplished by setting up the relativistic problem in such a way that makes
comparison with the nonrelativistic problem highly transparent and results in a
map of the latter into the former. An advantage of this representation is in
the computational economy as depicted by the number of terms, which are
quadratic in the Whittaker functions. These are single terms except for the
off-diagonal elements of the Dirac-Coulomb Green's function which, nonetheless,
simplifies into the sum of a first order and third order relativistic terms.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:11:31 GMT""},{""version"":""v2"",""created"":""Sat, 10 May 2003 07:07:18 GMT""}]","2007-05-23"
"math-ph/0211069","Yrii Kosovtsov","Yu.N. Kosovtsov","The rational generalized integrating factors for first-order ODEs","12 pages",,,,"math-ph math.GM math.MP",,"  We describe a solving semi-decision method based on examination of the
rational structures of the generalized integrating factors of first-order ODEs.
We propose a conjecture that for some family of equations of the type
dy/dx=P(x,y)/Q(x,y), with P and Q polynomials only in y (or in x), the general
form of the structures of generalized integrating factors are rational in y (or
in x). In such a way one can obtain a differential-algebraic polynomial system
for undetermined parameters of the structures. The successful solution of this
system (it is sufficient to find any particular solution) automatically leads
to finding the general solutions of ODEs.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 07:58:49 GMT""}]","2007-05-23"
"math-ph/0211070","Thomas Ostergaard Sorensen","S. Fournais, M. Hoffmann-Ostenhof, T. Hoffmann-Ostenhof, T.
  {\O}stergaard S{\o}rensen","On the regularity of the density of electronic wavefunctions","New results after the talk by the first author at QMath-8, Taxco,
  Mexico, December 10-14, 2001. Published in refereed proceedings","Mathematical Results in Quantum Mechanics, Contemp. Math., 307,
  Amer. Math. Soc., Providence, RI, 2002",,,"math-ph math.AP math.MP",,"  We prove that the electronic density of atomic and molecular eigenfunctions
is smooth away from the nuclei. The result is proved without decay assumptions
on the eigenfunctions.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 10:03:38 GMT""}]","2007-05-23"
"math-ph/0211071","Johannes Kellendonk","Johannes Kellendonk","Pattern equivariant functions and cohomology","8 pages including 2 figures",,"10.1088/0305-4470/36/21/306",,"math-ph math.KT math.MP",,"  The cohomology of a tiling or a point pattern has originally been defined via
the construction of the hull or the groupoid associated with the tiling or the
pattern. Here we present a construction which is more direct and therefore
easier accessible. It is based on generalizing the notion of equivariance from
lattices to point patterns of finite local complexity.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:04:56 GMT""}]","2009-11-07"
"math-ph/0211072","N. G. Marchuk","N.G. Marchuk","Dirac-type tensor equations on a parallelisable manyfolds",,"Nuovo Cimento Soc. Ital. Fis. B (12), 117:7 (2002), 789-796",,,"math-ph math.MP",,"  The goal of this work is to extend Dirac-type tensor equations to a curved
space. We take four 1-forms (a tetrad) as a unique structure, which determines
a geometry of space-time.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:02:54 GMT""}]","2019-10-21"
"math-ph/0211073","N. G. Marchuk","N.G. Marchuk","The Dirac equation vs. the Dirac type tensor equation",,"Nuovo Cim. B117 (2002) 511-520",,,"math-ph math.MP",,"  We discuss a connection between the Dirac equation for an electron and the
Dirac type tensor equation with ${\rm U}(1)$ gauge symmetry.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:13:02 GMT""}]","2007-05-23"
"math-ph/0211074","N. G. Marchuk","N.G. Marchuk","P.S. to the paper ""Dirac type tensor equations with nonabelian gauge
  symmetries on pseudo-Riemannian space""",,"Nuovo Cim.B117:613-614,2002",,,"math-ph math.MP",,"  We improve the concept of our previous paper ""Dirac type tensor equations
with nonabelian gauge symmetries on pseudo-Riemannian space"" and present a new
compact formula for the tensor $B_\mu$.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:21:08 GMT""}]","2010-11-11"
"math-ph/0211075","S. Fournais","S. Fournais, M. Hoffmann-Ostenhof, T. Hoffmann-Ostenhof and T.
  {\O}stergaard S{\o}rensen","Analyticity of the density of electronic wavefunctions","19 pages","Ark. Math. 42 (2004), 87-106",,,"math-ph math.MP",,"  We prove that the electronic densities of atomic and molecular eigenfunctions
are real analytic in ${\mathbb R}^3$ away from the nuclei.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:44:00 GMT""}]","2007-05-23"
"math-ph/0211076","Jacques Hurtubise","J. Harnad and J.C. Hurtubise","Multi-Hamiltonian structures for r-matrix systems","26 pages, Plain Tex","J.Math.Phys.49:062903,2008","10.1063/1.2937896","CRM 2850","math-ph hep-th math.MP math.SG nlin.SI",,"  For the rational, elliptic and trigonometric r-matrices, we exhibit the links
between three ""levels"" of Poisson spaces: (a) Some finite-dimensional spaces of
matrix-valued holomorphic functions on the complex line; (b) Spaces of spectral
curves and sheaves supported on them; (c) Symmetric products of a surface. We
have, at each level, a linear space of compatible Poisson structures, and the
maps relating the levels are Poisson. This leads in a natural way to Nijenhuis
coordinates for these spaces. At level (b), there are Hamiltonian systems on
these spaces which are integrable for each Poisson structure in the family, and
which are such that the Lagrangian leaves are the intersections of the
symplective leaves over the Poisson structures in the family. Specific examples
include many of the well-known integrable systems.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:56:05 GMT""}]","2009-01-22"
"math/0211451","Stuart A. Rankin","Stuart Rankin and Ortho Smith","Enumerating the Prime Alternating Links",,,,,"math.GT math.CO",,"  This is the third paper in a series devoted to enumerating the prime
alternating knots and links. This paper establishes a method for enumerating
the prime alternating links. It is shown that one may choose any prime
alternating link diagram of a given minimal crossing size and by applications
of just two operators (T and OTS, introduced in the first paper in the series,
Enumerating the Prime Alternating Knots, Part I) to the selected seed link, one
obtains all prime alternating link diagrams of the desired minimal crossing
size.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:47:43 GMT""}]","2007-05-23"
"math/0211452","Alistair Savage","Igor B. Frenkel and Alistair Savage","Bases of representations of type A affine Lie algebras via quiver
  varieties and statistical mechanics","19 pages. v2: minor typos corrected","Inter. Math. Res. Notices, 28 (2003), p. 1521-1547","10.1155/S1073792803211284",,"math.AG math.RT",,"  We relate two apparently different bases in the representations of affine Lie
algebras of type A: one arising from statistical mechanics, the other from
gauge theory. We show that the two are governed by the same combinatorics and
therefore can be viewed as identical. In particular, we are able to give an
alternative and much simpler geometric proof of a result of E. Date, M. Jimbo,
A. Kuniba, T. Miwa and M. Okado on the construction of bases of affine Lie
algebra representations. At the same time, we give a simple parametrization of
the irreducible components of Nakajima quiver varieties associated to infinite
and cyclic quivers. We also define new varieties whose irreducible components
are in one-to-one correspondence with bases of the highest weight
representations of affine gl_{n+1}.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:51:46 GMT""},{""version"":""v2"",""created"":""Fri, 14 Mar 2003 21:49:52 GMT""}]","2012-02-28"
"math/0211453","Leble Sergey","A.A. Halim, S.P. Kshevetskii, S.B. Leble","Numerical integration of coupled Korteweg-de Vries System","11 pages, 13 figures",,,,"math.NA math-ph math.MP",,"  We introduce a numerical method for general coupled Korteweg-de Vries
systems. The scheme is valid for solving Cauchy problems for arbitrary number
of equations with arbitrary constant coefficients. The numerical scheme takes
its legality by proving its stability and convergence which gives the
conditions and the appropriate choice of the grid sizes. The method is applied
to Hirota-Satsuma (HS) system and compared with its known explicit solution
investigating the influence of initial conditions and grid sizes on accuracy.
We also illustrate the method to show the effects of constants with a
transition to non-integrable cases.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:55:08 GMT""}]","2007-05-23"
"math/0211454","Tom Leinster","Marcelo Fiore, Tom Leinster","An Objective Representation of the Gaussian Integers","8 pages. Version 2: application to programming added; journal version","Journal of Symbolic Computation 37 (2004), no. 6, 707-716",,,"math.RA math.AC math.CT",,"  A rig is a riNg without Negatives. We analyse the free rig on a generator x
subject to the equivalence x = 1 + x + x^2, showing that in it the non-constant
polynomials form a ring. This ring can be identified with the Gaussian
integers, which thus acquire objective meaning.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 21:28:04 GMT""},{""version"":""v2"",""created"":""Thu, 13 May 2004 12:05:49 GMT""}]","2007-05-23"
"math/0211455","Alexander E. Holroyd","Alexander E. Holroyd and Yuval Peres","Trees and matchings from point processes",,,,,"math.PR",,"  A factor graph of a point process is a graph whose vertices are the points of
the process, and which is constructed from the process in a deterministic
isometry-invariant way. We prove that the d-dimensional Poisson process has a
one-ended tree as a factor graph. This implies that the Poisson points can be
given an ordering isomorphic to the usual ordering of the integers in a
deterministic isometry-invariant way. For d \geq 4 our result answers a
question posed by Ferrari, Landim and Thorisson. We prove also that any
isometry-invariant ergodic point process of finite intensity in Euclidean or
hyperbolic space has a perfect matching as a factor graph provided all the
inter-point distances are distinct.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 01:38:44 GMT""}]","2007-05-23"
"math/0211456","Chin-Lung Wang","Chin-Lung Wang","Quasi-Hodge Metrics and Canonical Singularities","15 pages, LaTeX. To appear in Mathematical Research Letters","Math. Res. Lett. 10 (2003), 57-70",,,"math.AG math.DG",,"  We study one parameter degenerations of complex projective manifolds by
introducing certain type of Hodge metrics coming from the pluricanonical forms.
We show that degenerations with at most canonical singularities are all in the
finite distance boundary of moduli spaces. We also propose the converse to be
true in the sense that finite distance degenerations admit birational models
which have at most canonical singularities in the degenerate fiber. We verify
this for curves and show that the Calabi-Yau case follows from the minimal
model conjecture.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 02:01:37 GMT""}]","2011-10-11"
"math/0211457","Chazottes","J.-R. Chazottes, E. Ugalde","Projection of Markov measures may be Gibbsian","4 latex figures",,,,"math.DS math.PR",,"  We study the induced measure obtained from a 1-step Markov measure, supported
by a topological Markov chain, after the mapping of the original alphabet onto
another one. We give sufficient conditions for the induced measure to be a
Gibbs measure (in the sense of Bowen) when the factor system is again a
topological Markov chain. This amounts to constructing, when it does exist, the
induced potential and proving its Holder continuity. This is achieved through a
matrix method. We provide examples and counterexamples to illustrate our
results.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 11:31:44 GMT""}]","2007-05-23"
"math/0211458","Massimiliano Gubinelli","Franco Flandoli, Mariano Giaquinta, Massimiliano Gubinelli, Vincenzo
  M. Tortorelli","On a relation between stochastic integration and geometric measure
  theory","30 pages, no figures",,,,"math.PR",,"  Two problems are addressed for the path of certain stochastic processes: a)
do they define currents? b) are these currents of a classical type? A general
answer to question a) is given for processes like semimartingales or with
Lyons-Zheng structure. As to question b), it is shown that H\""{o}lder
continuous paths with exponent $\gamma > 1/2$ define integral flat chains.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 11:52:55 GMT""}]","2007-05-23"
"math/0211459","Daniel Groves","Martin R. Bridson, Daniel P. Groves","The quadratic isoperimetric inequality for mapping tori of free group
  automorphisms I: Positive automorphisms","69 pages, 32 figures. Improved proof of the Pincer Lemma",,,,"math.GR",,"  If $F$ is a finitely generated free group and $\phi$ is a positive
automorphism of $F$ then $F\rtimes_\phi Z$ satisfies a quadratic isoperimetric
inequality.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:33:47 GMT""},{""version"":""v2"",""created"":""Thu, 28 Jul 2005 15:15:14 GMT""}]","2007-05-23"
"math/0211460","Anatoly N. Kochubei","Anatoly N. Kochubei (Institute of Mathematics, Kiev, Ukraine)","Differential Equations for $F_q$-Linear Functions, II: Regular
  Singularity","17 pages, LaTeX-2e",,,,"math.NT",,"  We study some classes of equations with Carlitz derivatives for $F_q$-linear
functions, which are the natural function field counterparts of linear ordinary
differential equations with a regular singularity. In particular, an analog of
the equation for the power function, the Fuchs and Euler type equations, and
Thakur's hypergeometric equation are considered. Some properties of the above
equations are similar to the classical case while others are different. For
example, a simple model equation shows a possibility of existence of a
non-trivial continuous locally analytic $F_q$-linear solution which vanishes on
an open neighbourhood of the initial point. Part I: J. Number Theory, 83
(2000), 137-154.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:22:28 GMT""}]","2007-05-23"
"math/0211461","Georges Chevalier","Georges Chevalier","Automorphisms of an orthomodular poset of projections","10pages",,,,"math.RA",,"  By using a lattice characterization of continuous projections defined on a
topological vector space E arising from a dual pair, we determine the
automorphism group of their orthomodular poset Proj(E) by means of
automorphisms and anti-automorphisms of the lattice L of all closed subspaces
of E. A connection between the automorphism group of the ring of all continuous
linear mappings defined on E and the automorphism group of the orthoposet
Proj(E) is established.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 15:01:02 GMT""},{""version"":""v2"",""created"":""Thu, 3 Apr 2003 07:15:12 GMT""},{""version"":""v3"",""created"":""Tue, 7 Oct 2003 10:15:13 GMT""}]","2007-05-23"
"nlin/0211051","J. Harnad","J. Harnad and A. Yu. Orlov","Scalar products of symmetric functions and matrix integrals","LaTex file. 15 pgs. Based on talks by J. Harnad and A. Yu. Orlov at
  the workshop: Nonlinear evolution equations and dynamical systems 2002, Cadiz
  (Spain) June 9-16, 2002. To appear in proceedings. (Minor typographical
  corrections added, abstract expanded)","Theor.Math.Phys. 137 (2003) 1676-1690; Teor.Mat.Fiz. 137 (2003)
  375-392","10.1023/B:TAMP.0000007916.13779.17","CRM-2907 (2002)","nlin.SI hep-th math-ph math.MP",,"  We present relations between Hirota-type bilinear operators, scalar products
on spaces of symmetric functions and integrals defining matrix model partition
functions. Using the fermionic Fock space representation, a proof of the
expansion of an associated class of KP and 2-Toda tau functions $\tau_{r,n}$ in
a series of Schur functions generalizing the hypergeometric series is given and
related to the scalar product formulae. It is shown how special cases of such
$\tau$-functions may be identified as formal series expansions of partition
functions. A closed form exapnsion of $\log \tau_{r,n}$ in terms of Schur
functions is derived.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 16:52:36 GMT""},{""version"":""v2"",""created"":""Fri, 29 Nov 2002 12:48:39 GMT""},{""version"":""v3"",""created"":""Tue, 10 Dec 2002 12:35:51 GMT""}]","2009-11-07"
"nucl-ex/0211034","Khrykin","A.S.Khrykin","On possible existence of the dibaryon resonance $d^*_1$ and its role in
  the $np\gamma$ and $pd\gamma$ processes below the pion threshold","4 pages, LaTex, 4 eps-figures, Talk presented at the XVI
  International Conference on Particle and Nuclei (PANIC02), Osaka, Japan, Sep.
  30 - Oct. 4, 2002","Nucl.Phys. A721 (2003) 625-628","10.1016/S0375-9474(03)01138-2",,"nucl-ex hep-ph nucl-th",,"  We give reasons for the existence of the NN decoupled dibaryon resonance
$d^*_1$(1956). Strong evidence for its presence has first been found in the
energy spectrum of coincident photons emitted at $\pm 90^0$ from the $pp \to
\gamma\gamma X$ process at 216 MeV measured by the DIB2$\gamma$ collaboration
at JINR. As further experimental indications of the $d^*_1$(1956) existence we
present those found in the available photon energy spectra of $np\gamma$,
$pd\gamma$, and $pA\gamma$ reactions below the pion threshold. It is noted that
serious discrepancies between the $np\gamma$ and $pd\gamma$ experimental cross
sections and theoretical calculations can reasonably be explained by the fact
that latter did not take into account the $d^*_1$ effect.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 16:58:13 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 2002 16:07:18 GMT""},{""version"":""v3"",""created"":""Mon, 9 Dec 2002 07:47:45 GMT""}]","2009-11-07"
