"astro-ph/0210512","Todor Stanev","T.K. Gaisser & Todor Stanev","Charge ratio of muons from atmospheric neutrinos","6 pages, 4 figures, to be submitted to Physics Letters","Phys.Lett.B561:125-129,2003","10.1016/S0370-2693(03)00389-7","BA-02-37","astro-ph hep-ph",,"  We calculate the intensities and angular distributions of positive and
negative muons produced by atmospheric neutrinos. We comment on some sources of
uncertainty in the charge ratio. We also draw attention to a potentially
interesting signature of neutrino oscillations in the muon charge ratio, and we
discuss the prospects for its observation (which are not quite within the reach
of currently planned magnetized detectors).
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:36:42 GMT""}]","2011-05-12"
"hep-ph/0210329","Joan Sola","Ilya L. Shapiro, Joan Sola","A modified Starobinsky's model of inflation: Anomaly-induced inflation,
  SUSY and graceful exit","LaTeX, 8 pages and 2 figures. Talk given at SUSY 2002: the 10th
  International Conference on Supersymmetry and Unification of Fundamental
  Interactions, DESY, Hamburg, Germany, June 17-23; also at GRG 11:
  International Conference on Theoretical and Experimental Problems of General
  Relativity and Gravitation, Tomsk, Russia, July 1-8 2002; typos added",,,"UB-ECM-PF-02-23","hep-ph astro-ph gr-qc hep-th",,"  We present a model of inflation based on the anomaly-induced effective action
of gravity in the presence of a conformally invariant Hilbert-Einstein term.
Our approach is based on the conformal representation of the fields action and
on the integration of the corresponding conformal anomaly. In contradistinction
to the original Starobinsky's model, inflation can be stable at the beginning
and unstable at the end. The instability is caused by a slowing down of
inflation due to quantum effects associated to the massive fermion fields. In
supersymmetric theories this mechanism can be linked to the breaking of SUSY
and suggests a natural way to achieve graceful exit from the inflationary to
the FLRW phase.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 13:02:44 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 17:35:00 GMT""}]","2007-05-23"
"hep-ph/0210330","Helmut Eberl","H. Eberl, W. Majerotto, and V. C. Spanos","Radiative corrections to single Higgs boson production in e+e-
  annihilation","Contribution to SUSY02, 17-23 June 2002, DESY Hamburg, 7 pages, 6
  figures",,,"HEPHY-PUB 765/02","hep-ph",,"  For energies relevant to future linear colliders, \sqrt{s} >~ 500 GeV, the WW
fusion channel dominates the Higgs boson production cross section e+e- ->
\bar\nu \nu h^0. We have calculated the one-loop corrections to this process
due to fermion and sfermion loops in the context of the MSSM. As a special
case, the contribution of the fermion loops in the SM has also been studied. In
general, the correction is negative and sizeable of the order of 10%, the bulk
of it being due to fermion loops.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 13:31:10 GMT""}]","2007-05-23"
"hep-ph/0210331","Paul Romatschke","Paul Romatschke","Cold deconfined matter EOS through an HTL quasi-particle model","5 pages, 6 figures, contribution to the conference Strong and
  Electroweak Matter (SEWM2002), Heidelberg, Germany, October 2-5, 2002; v2:
  plots and references updated",,"10.1142/9789812704498_0038","TUW-02-23","hep-ph",,"  Using quasi-particle models, lattice data can be mapped to finite chemical
potential. By comparing a simple and an HTL quasi-particle model, we derive the
general trend that a full inclusion of the plasmon effect will give.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:50:40 GMT""},{""version"":""v2"",""created"":""Tue, 7 Jan 2003 16:00:09 GMT""}]","2017-08-23"
"hep-ph/0210332","Dmitri Kharzeev","D. Kharzeev, E. Levin and L. McLerran","Parton saturation and N_part scaling of semi--hard processes in QCD","13 pages, 3 figures, LaTeX; significantly extended version","Phys.Lett.B561:93-101,2003","10.1016/S0370-2693(03)00420-9","BNL-NT-02/22","hep-ph",,"  We argue that the suppression of high p_t hadrons discovered recently in
heavy ion collisions at RHIC may be a consequence of saturation in the Color
Glass Condensate. We qualitatively and semi-quantitatively describe the data,
in particular, the dependence upon the number of nucleon participants. We show
that if parton saturation sets in at sufficiently small energy, then in
nucleus-nucleus collisions at RHIC and LHC energies the cross sections of
semi-hard processes should scale approximately with the number of participants,
N_{part}. Our results provide a possible explanation of both the absence of
apparent jet quenching at SPS energies and its presence at RHIC. Under the same
assumption we predict that in semi--central and central pA (dA) collisions at
collider energies the dependence of semi--hard processes on the number of
participating nucleons of the nucleus will change to \sim (N_{part}^A)^{1/2}.
The forthcoming data on dA collisions will provide a crucial test of this
description.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:37:11 GMT""},{""version"":""v2"",""created"":""Thu, 19 Dec 2002 20:18:58 GMT""}]","2014-11-17"
"hep-ph/0210333","Gabriel Sanchez-Colon","G. Sanchez-Colon, R. Huerta and A. Garcia","Mirror matter admixtures and isospin breaking in the \Delta I=1/2 rule
  in \Omega^- two body non-leptonic decays","Changed content","Int.J.Mod.Phys. A19 (2004) 775","10.1142/S0217751X04017914",,"hep-ph",,"  We discuss a description of \Omega^- two body non-leptonic decays based on
possible, albeit tiny, admixtures of mirror matter in ordinary hadrons. The
\Delta I=1/2 rule enhancement is obtained as a result of isospin symmetry and,
more importantly, the rather large observed deviations from this rule result
from small isospin breaking. This analysis lends support to the possibility
that the enhancement phenomenon observed in low energy weak interactions may be
systematically described by mirror matter admixtures in ordinary hadrons.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:46:38 GMT""},{""version"":""v2"",""created"":""Fri, 31 Jan 2003 19:28:59 GMT""}]","2009-11-07"
"hep-th/0210230","Rashmi Rekha Nayak","Rashmi R. Nayak","D-Branes at angle in pp-wave Background","18 pages, version to appear in Phys. Rev. D","Phys.Rev. D67 (2003) 086006","10.1103/PhysRevD.67.086006","IP/BBSR/2002-25","hep-th",,"  We show the existence of classical solutions of a system of D3-branes
oriented at an arbitrary angle with respect to each other, in a six dimensional
pp-wave background obtained from AdS_3\times S^3\times R^4, with NS-NS and R-R
3-form field strength. These D-brane bound states are shown to preserve 1/16 of
the supersymmetries. We also present more D-brane bound state solutions by
applying T-duality symmetries. Finally, the probe analysis is discussed along
with a brief outline of the open string construction.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 16:09:23 GMT""},{""version"":""v2"",""created"":""Mon, 11 Nov 2002 15:45:17 GMT""},{""version"":""v3"",""created"":""Mon, 3 Mar 2003 16:34:19 GMT""}]","2009-11-07"
"hep-th/0210231","Emil J. Martinec","Emil J. Martinec","Defects, Decay, and Dissipated States","45 pages, 21 figures; lectures at Cargese (June 2002). v2: typos
  corrected, references added",,,,"hep-th",,"  The worldsheet renormalization group approach to tachyon condensation in
string theory is reviewed. The open string case is summarized with examples,
and closed string tachyon condensation on nonsupersymmetric orbifolds is
examined in detail. The idea that the renormalization group dissipates the
localized states associated to the defect is explored.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:48:54 GMT""},{""version"":""v2"",""created"":""Wed, 23 Oct 2002 21:40:12 GMT""},{""version"":""v3"",""created"":""Mon, 4 Nov 2002 18:02:38 GMT""}]","2007-05-23"
"hep-th/0210232","Tanmay Vachaspati","Levon Pogosian and Tanmay Vachaspati","Domain Wall Lattices","4 pages","Phys.Rev. D67 (2003) 065012","10.1103/PhysRevD.67.065012",,"hep-th cond-mat hep-ph",,"  We construct lattices with alternating kinks and anti-kinks. The lattice is
shown to be stable in certain models. We consider the forces between kinks and
antikinks and find that the lattice dynamics is that of a Toda lattice. Such
lattices are exotic metastable states in which the system can get trapped
during a phase transition.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:18:03 GMT""}]","2009-11-07"
"hep-th/0210233","Jim Cline","C.P. Burgess, J.M. Cline, F. Lemieux, R. Holman","Are Inflationary Predictions Sensitive to Very High Energy Physics?","23 pages, 14 figures","JHEP 0302:048,2003","10.1088/1126-6708/2003/02/048","McGill 02-33, CMU-HEP-02-11","hep-th astro-ph hep-ph",,"  It has been proposed that the successful inflationary description of density
perturbations on cosmological scales is sensitive to the details of physics at
extremely high (trans-Planckian) energies. We test this proposal by examining
how inflationary predictions depend on higher-energy scales within a simple
model where the higher-energy physics is well understood. We find the best of
all possible worlds: inflationary predictions are robust against the vast
majority of high-energy effects, but can be sensitive to some effects in
certain circumstances, in a way which does not violate ordinary notions of
decoupling. This implies both that the comparison of inflationary predictions
with CMB data is meaningful, and that it is also worth searching for small
deviations from the standard results in the hopes of learning about very high
energies.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:22:58 GMT""}]","2011-05-05"
"hep-th/0210235","Akio Sugamoto","A. Sugamoto (Ochanomizu U.)","Generation of 4d Gauge Theory and Gravity from their 3d
  versions--Asymptotic Disappearance of Space and Time (ADST) Scenario--","10 pages, 0 figures, talk given at GRG11 international conference
  held at Tomsk, Russia on July 1-6 (2002)","Grav.Cosmol. 9 (2003) 91-94",,"OCHA-PP-195","hep-th",,"  An exotic scenario of our universe is proposed in which our universe starts
from zero space-time dimensions (0d), namely, a set of discrete points, it
increases the (continuous) dimensionality during the cooling down of it, and
finally arrives at the present four space-time dimensions (4d). This scenario
may be called asymptotic disappearance (or discretization) of space-time (ADST)
scenario. The final stage of the scenario is to generate dynamically 4d from
the 3d, which is shown to be possible for both gauge theory and gravity,
including the standard model. To examine the validity of the scenario, 4d QED
generated from its 3d version at high energy is studied, in which one spatial
dimension is discretized with a lattice constant $a$. From the LEP2 experiment
on $e^+ e^- \to \gamma \gamma$, $a$ is constrained to satisfy $a \le 461$ GeV.
Expected bound on $a$ at future $e^+ e^-$ linear collider is discussed. The
finite size of $a$ modifies the dispersion relation, causing the violation of
Lorentz symmetry. Then, the paradox of observing 20 TeV $\gamma$ rays from the
active galaxy Markarian 501 may disappear, overcoming the GZK cut.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 07:22:17 GMT""}]","2007-05-23"
"hep-th/0210236","Betti Hartmann","Eugenio R. Bezerra de Mello (University of Paraiba, Brazil), Yves
  Brihaye (University of Mons, Belgium) and Betti Hartmann (University of
  Durham, UK)","Interaction of global and local monopoles","9 Revtex pages, 4 ps-figures","Phys.Rev. D67 (2003) 045015","10.1103/PhysRevD.67.045015","DCPT-02/71","hep-th gr-qc",,"  We study the direct interaction between global and local monopoles. While in
two previous papers, the coupling between the two sectors was only indirect
through the coupling to gravity, we here introduce a new term in the potential
that couples the Goldstone field and the Higgs field directly. We investigate
the influence of this term in curved space and compare it to the results
obtained previously.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 11:33:30 GMT""}]","2009-11-07"
"hep-th/0210237","Paolo Aschieri","P.Aschieri, L.Castellani, A.P.Isaev","Yang-Mills and Born-Infeld actions on finite group spaces","Talk presented at GROUP24, Paris, July 2002. LaTeX, 4 pages, IOP
  styles",,,,"hep-th",,"  Discretized nonabelian gauge theories living on finite group spaces G are
defined by means of a geometric action \int Tr F\wedge *F . This technique is
extended to obtain a discrete version of the Born-Infeld action.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 12:52:59 GMT""}]","2007-05-23"
"math-ph/0210044","Hiroshi Fukuda","Toshiaki Fujiwara, Hiroshi Fukuda and Hiroshi Ozaki","Choreographic Three Bodies on the Lemniscate",,"J. Phys. A36, 2791--2800 (2003)","10.1088/0305-4470/36/11/310",,"math-ph math.MP",,"  We show that choreographic three bodies {x(t), x(t+T/3), x(t-T/3)} of period
T on the lemniscate, x(t) = (x-hat+y-hat cn(t))sn(t)/(1+cn^2(t)) parameterized
by the Jacobi's elliptic functions sn and cn with modulus k^2 = (2+sqrt{3})/4,
conserve the center of mass and the angular momentum, where x-hat and y-hat are
the orthogonal unit vectors defining the plane of the motion. They also
conserve the moment of inertia, the kinetic energy, the sum of square of the
curvature, the product of distance and the sum of square of distance between
bodies. We find that they satisfy the equation of motion under the potential
energy sum_{i<j}(1/2 ln r_{ij} -sqrt{3}/24 r_{ij}^2) or sum_{i<j}1/2 ln r_{ij}
-sum_{i}sqrt{3}/8 r_{i}^2, where r_{ij} the distance between the body i and j,
and r_{i} the distance from the origin. The first term of the potential
energies is the Newton's gravity in two dimensions but the second term is the
mutual repulsive force or a repulsive force from the origin, respectively.
Then, geometric construction methods for the positions of the choreographic
three bodies are given.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 05:02:24 GMT""}]","2012-01-17"
"math-ph/0210045","Gerhard Rein","Gerhard Rein","Non-linear stability of gaseous stars","18 pages, LaTeX","Arch. Rational Mech. Anal. 168 (2003) 2, 115-130","10.1007/s00205-003-0260-y",,"math-ph astro-ph math.AP math.MP",,"  We construct steady states of the Euler-Poisson system with a barotropic
equation of state as minimizers of a suitably defined energy functional. Their
minimizing property implies the non-linear stability of such states against
general, i.e., not necessarily spherically symmetric perturbations. The
mathematical approach is based on previous stability results for the
Vlasov-Poisson system by Y. Guo and the author, exploiting the energy-Casimir
technique. The analysis is conditional in the sense that it assumes the
existence of solutions to the initial value problem for the Euler-Poisson
system which preserve mass and energy. The relation between the Euler-Poisson
and the Vlasov-Poisson system in this context is also explored.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 11:42:50 GMT""}]","2009-11-07"
"math/0210370","Hongyu He","Hongyu He","Theta Correspondence and Quantum Induction","31 pages","Advances in Math. 2005",,,"math.RT",,"  In his article ""Transcending Classical Invariant Theory"" (J.A.M.S., 1989, Vol
2), Roger Howe established a correspondence between representations of a dual
pair of reductive groups. This correspondence is known as Howe's correspondence
or local theta correspondence. In my paper ""Unitary Representations and Theta
Correspondence for Classical Group of Type I""(to appear in J. Func. Anal.), we
proved that theta correspondence over the real field preserves unitarity under
certain restrictions, generalizing some results of Jian-Shu Li (Invent. Math.,
Vol 97, 1989). In this paper, we study the compositions of theta
correspondences. Under certain favorable conditions, we prove that the
composition of theta correspodence yields unitary representations. We call this
process quantum induction. Quantum induction resembles parabolic induction in
various ways. Some results in this paper were announced at ICM-2002.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:46:01 GMT""},{""version"":""v2"",""created"":""Wed, 23 Oct 2002 20:34:14 GMT""},{""version"":""v3"",""created"":""Mon, 24 Oct 2005 22:42:56 GMT""}]","2007-05-23"
"math/0210371","Hongyu He","Hongyu He","Unitary Representations and Theta Correspondence for Type I Classical
  Groups","25 pages","Journal of Functional Analysis 199 (2003) 92-121.",,,"math.RT",,"  In this paper, we prove that theta correspondence preserves unitarity under
certain restrictions.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 20:05:15 GMT""}]","2007-05-23"
"math/0210372","Hongyu He","Hongyu He","Unipotent Representations and Quantum Induction","100 pages. Revised","Memoirs of the American Mathematical Society (2022)",,,"math.RT","http://creativecommons.org/licenses/by-nc-nd/4.0/","  In this paper, we construct certain unipotent representations for the real
orthogonal group and the metaplectic group in the sense of Vogan. Our
construction is based on quantum induction which involves the compositions of
even number of theta correspondences. In particular, our results imply that
there are irreducible unitary representations attached to each special
nilpotent orbit.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 20:10:52 GMT""},{""version"":""v2"",""created"":""Fri, 21 Mar 2003 16:26:55 GMT""},{""version"":""v3"",""created"":""Tue, 8 Apr 2003 18:56:48 GMT""},{""version"":""v4"",""created"":""Thu, 28 Jul 2005 12:46:18 GMT""},{""version"":""v5"",""created"":""Mon, 24 Oct 2005 22:16:27 GMT""},{""version"":""v6"",""created"":""Fri, 2 Mar 2007 00:59:20 GMT""},{""version"":""v7"",""created"":""Fri, 31 Dec 2021 16:13:26 GMT""}]","2022-01-03"
"math/0210373","Krzysztof Pawalowski","Krzysztof Pawalowski, Ronald Solomon","Smith equivalence and finite Oliver groups with Laitinen number 0 or 1","Published by Algebraic and Geometric Topology at
  http://www.maths.warwick.ac.uk/agt/AGTVol2/agt-2-35.abs.html","Algebr. Geom. Topol. 2 (2002) 843-895","10.2140/agt.2002.2.843",,"math.AT math.GR",,"  In 1960, Paul A. Smith asked the following question. If a finite group G acts
smoothly on a sphere with exactly two fixed points, is it true that the tangent
G-modules at the two points are always isomorphic? We focus on the case G is an
Oliver group and we present a classification of finite Oliver groups G with
Laitinen number a_G = 0 or 1. Then we show that the Smith Isomorphism Question
has a negative answer and a_G > 1 for any finite Oliver group G of odd order,
and for any finite Oliver group G with a cyclic quotient of order pq for two
distinct odd primes p and q. We also show that with just one unknown case, this
question has a negative answer for any finite nonsolvable gap group G with a_G
> 1. Moreover, we deduce that for a finite nonabelian simple group G, the
answer to the Smith Isomorphism Question is affirmative if and only if a_G = 0
or 1.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 22:16:37 GMT""}]","2014-10-01"
"math/0210374","Clint McCrory","Clint McCrory (University of Georgia), Adam Parusinski (University of
  Angers)","Virtual Betti numbers of real algebraic varieties","13 pages. Talk by first author, AMS meeting, Northeastern University,
  October 5-6, 2002","Comptes Rendus Acad. Sci. Paris, Ser. I, 336 (2003), 763-768",,,"math.AG",,"  The weak factorization theorem for birational maps is used to prove that for
all nonnegative i the ith mod 2 Betti number of compact nonsingular real
algebraic varieties has a unique extension to a ""virtual Betti number"" beta_i
defined for all real algebraic varieties, such that if Y is a closed subvariety
of X, then beta_i(X) = beta_i(X\Y) + beta_i(Y).
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 23:10:38 GMT""}]","2012-02-15"
"math/0210377","Dosang Joe","Dosang Joe and Bumsig Kim","Equivariant mirrors and the Virasoro conjecture for flag manifolds","To appear in IMRN",,,,"math.AG math.SG",,"  We found an explicit description of all $GL(n,\RR)$-Whittaker functions as
oscillatory integrals and thus constructed equivariant mirrors of flag
manifolds. As a consequence we proved the Virasoro conjecture for flag
manifolds.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 07:03:25 GMT""}]","2007-05-23"
"math/0210378","Stefano Galatolo","Stefano Galatolo","Global and local Complexity in weakly chaotic dynamical systems","23 pages",,,,"math.DS",,"  In a topological dynamical system the complexity of an orbit is a measure of
the amount of information (algorithmic information content) that is necessary
to describe the orbit. This indicator is invariant up to topological
conjugation. We consider this indicator of local complexity of the dynamics and
provide different examples of its behavior, showing how it can be useful to
characterize various kind of weakly chaotic dynamics. We also provide criteria
to find systems with non trivial orbit complexity (systems where the
description of the whole orbit requires an infinite amount of information). We
consider also a global indicator of the complexity of the system. This global
indicator generalizes the topological entropy, taking into account systems were
the number of essentially different orbits increases less than exponentially.
Then we prove that if the system is constructive (roughly speaking: if the map
can be defined up to any given accuracy using a finite amount of information)
the orbit complexity is everywhere less or equal than the generalized
topological entropy. Conversely there are compact non constructive examples
where the inequality is reversed, suggesting that this notion comes out
naturally in this kind of complexity questions.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 10:29:22 GMT""}]","2007-05-23"
"math/0210379","Jerzy Dydak","Jerzy Dydak","Partitions of unity","32 pages","Topology Proceedings 27 (2003), 125-171",,,"math.GN",,"  The paper contains an exposition of part of topology using partitions of
unity. The main idea is to create variants of the Tietze Extension Theorem and
use them to derive classical theorems. This idea leads to a new result
generalizing major results on paracompactness (Stone Theorem and Tamano
Theorem), a result which serves as a connection to Ascoli Theorem. A new
calculus of partitions of unity is introduced with applications to dimension
theory and metric simplicial complexes. The geometric interpretation of this
calculus is the barycentric subdivision of simplicial complexes. Also, joins of
partitions of unity are often used; they are an algebraic version of joins of
simplicial complexes.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 11:37:19 GMT""},{""version"":""v2"",""created"":""Sun, 23 Feb 2003 16:13:00 GMT""}]","2008-02-28"
"math/0210380","Peeter Puusemp","Peeter Puusemp","A characterization of Schmidt groups by their endomorphism semigroups","LATEX2.09, 15 pages",,,,"math.GR",,"  A {\it Schmidt group} is a non-nilpotent finite group in which each proper
subgroup is nilpotent. Each Schmidt group G can be described by three
parameters p, q and v, where p and q are different primes and v is a natural
number, $v\ge 1$. Denote by ${\mathcal{S}}$ the class of all Schmidt groups
which have the same parameters p, q and v. It is shown in this paper that the
class ${\mathcal{S}}$ can be characterized by the properties of the
endomorphism semigroups of the groups of this class. It follows from this
characterization that if $G\in {\mathcal{S}}$ and H is another group such that
the endomorphism semigroups of G and H are isomorphic, then $H\in
{\mathcal{S}}$, too.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 11:59:04 GMT""}]","2007-05-23"
"math/0210381","A. V. Jayanthan","A. V. Jayanthan and J. K. Verma","Local cohomology modules of bigraded Rees algebras","11 pages. To appear in ""Advances in Algebra and Geometry"",
  Proceedings of Hyderabad Conference 2001",,,,"math.AC",,"  Formulas are obtained in terms of complete reductions for the bigraded
components of local cohomology modules of bigraded Rees algebras of
0-dimensional ideals in 2-dimensional Cohen-Macaulay local rings. As a
consequence, cohomological expressions for the coefficients of the Bhattacharya
polynomial of such ideals are obtained.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:05:29 GMT""}]","2007-05-23"
"math/0210382","Saeed Zakeri","Saeed Zakeri","External rays and the real slice of the Mandelbrot set","22 pages, 4 figures",,,"Stony Brook IMS 2002/02","math.DS math.CV",,"  This paper investigates the set of angles of the parameter rays which land on
the real slice $[-2,1/4]$ of the Mandelbrot set. We prove that this set has
zero length but Hausdorff dimension 1. We obtain the corresponding results for
the tuned images of the real slice. Applications of these estimates in the
study of critically non-recurrent real quadratics as well as biaccessible
points of quadratic Julia sets are given.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:16:09 GMT""}]","2007-05-23"
"math/0210383","Hitoshi Konno","Takeo Kojima and Hitoshi Konno","The elliptic algebra U_{q,p}(\hat{sl}_N) and the Drinfeld realization of
  the elliptic quantum group B_{q,\lambda}(\hat{sl}_N)","47 pages, Latex, No figures","Commun.Math.Phys. 239 (2003) 405-447","10.1007/s00220-003-0860-2",,"math.QA hep-th math-ph math.MP",,"  By using the elliptic analogue of the Drinfeld currents in the elliptic
algebra U_{q,p}(\hat{sl}_N), we construct a L-operator, which satisfies the
RLL-relations characterizing the face type elliptic quantum group
B_{q,\lambda}(\hat{sl}_N). For this purpose, we introduce a set of new currents
K_j(v) (1\leq j\leq N) in U_{q,p}(\hat{sl}_N). As in the N=2 case, we find a
structure of U_{q,p}(\hat{sl}_N) as a certain tensor product of
B_{q,\lambda}(\hat{sl}_N) and a Heisenberg algebra. In the level-one
representation, we give a free field realization of the currents in
U_{q,p}(\hat{sl}_N). Using the coalgebra structure of B_{q,\lambda}(\hat{sl}_N)
and the above tensor structure, we derive a free field realization of the
U_{q,p}(\hat{sl}_N)-analogue of B_{q,\lambda}(\hat{sl}_N)-intertwining
operators. The resultant operators coincide with those of the vertex operators
in the A_{N-1}^{(1)}-type face model.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:19:43 GMT""}]","2009-11-07"
"math/0210384","Kirill C. H. Mackenzie","K. C. H. Mackenzie","On certain canonical diffeomorphisms in symplectic and Poisson geometry","12 pages. To appear in `Quantization, Poisson brackets and beyond',
  proceedings of a conference at UMIST (UK) in July 2001, edited by Ted
  Voronov, Contemporary Mathematics",,,,"math.DG math.SG",,"  The canonical involution of a double (=iterated) tangent bundle may be
dualized in different ways to yield relations between the Tulczyjew
diffeomorphism, the Poisson anchor associated with the standard symplectic
structure on the cotangent space,and the reversal diffeomorphism. We show that
the constructions which yield these maps extend very generally to the double
Lie algebroids of double Lie groupoids, where they play a crucial role in the
relations between double Lie algebroids and Lie bialgebroids.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:56:18 GMT""}]","2007-05-23"
"nlin/0210054","Harald Posch","Harald A. Posch and Christina Forster","Lyapunov instability and collective tangent space dynamics of fluids","10 pages, 6 figures","Lecture Notes on Computer Science vol. 2331, Computational Science
  - ICCS 2002, vol. 3, p.1170, edited by P.M.A. Sloot, C.J.K. Tan, J.J.
  Dongarra, and A.G. Hoekstra, Springer Berlin, 2002",,,"nlin.CD",,"  The phase space trajectories of many body systems charateristic of simple
fluids are highly unstable. We quantify this instability by a set of Lyapunov
exponents, which are the rates of exponential divergence, or convergence, of
initial (infinitesimal) perturbations along carefully selected directions in
phase space. It is demonstrated that the perturbation associated with the
maximum Lyapunov exponent is localized in space. This localization persists in
the large-particle limit, regardless of the interaction potential. The
perturbations belonging to the smallest positive exponents, however, are
sensitive to the potential. For hard particles they form well-defined
long-wavelength modes. The modes could not be observed for systems interacting
with a soft potential due to surprisingly large fluctuations of the local
time-dependent exponents.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:24:02 GMT""}]","2007-05-23"
"nlin/0210055","Marcelo Kuperman","V. M. Kenkre, M. N. Kuperman","Applicability of the Fisher Equation to Bacterial Population Dynamics","5 pages, 3 figs. included",,"10.1103/PhysRevE.67.051921",,"nlin.AO q-bio",,"  The applicability of the Fisher equation, which combines diffusion with
logistic nonlinearity, to population dynamics of bacterial colonies is studied
with the help of explicit analytic solutions for the spatial distribution of a
stationary bacterial population under a static mask. The mask protects the
bacteria from ultraviolet light. The solution, which is in terms of Jacobian
elliptic functions, is used to provide a practical prescription to extract
Fisher equation parameters from observations and to decide on the validity of
the Fisher equation.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 18:43:28 GMT""}]","2009-11-07"
"nlin/0210056","Hidetsugu Sakaguchi","Hidetsugu Sakaguchi","Stochastic synchronization in globally coupled phase oscillators","5 figures",,"10.1103/PhysRevE.66.056129",,"nlin.CD nlin.AO",,"  Cooperative effects of periodic force and noise in globally Cooperative
effects of periodic force and noise in globally coupled systems are studied
using a nonlinear diffusion equation for the number density. The amplitude of
the order parameter oscillation is enhanced in an intermediate range of noise
strength for a globally coupled bistable system, and the order parameter
oscillation is entrained to the external periodic force in an intermediate
range of noise strength. These enhancement phenomena of the response of the
order parameter in the deterministic equations are interpreted as stochastic
resonance and stochastic synchronization in globally coupled systems.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 04:48:21 GMT""}]","2009-11-07"
"nlin/0210057","Hidetsugu Sakaguchi","Hidetsugu Sakaguchi","Stick-Slip Motion and Phase Transition in a Block-Spring System","8 figures",,"10.1143/JPSJ.72.69",,"nlin.CD nlin.PS",,"  We study numerically stick slip motions in a model of blocks and springs
being pulled slowly. The sliding friction is assumed to change dynamically with
a state variable. The transition from steady sliding to stick-slip is
subcritical in a single block and spring system. However, we find that the
transition is continuous in a long chain of blocks and springs. The size
distribution of stick-slip motions exhibits a power law at the critical point.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 05:36:09 GMT""}]","2009-11-07"
"nucl-ex/0210030","Martin Veselsky","M. Veselsky, G.A. Souliotis, G. Chubarian, L. Trache, A. Keksis, E.
  Martin, A. Ruangma, E. Winchester, S. J. Yennello","Heavy Residues with A<90 in the Asymmetric Reaction of 20 AMeV
  124Sn+27Al as a Sensitive Probe of the Onset of Multifragmentation","17 pages, 15 figures, LaTeX, to appear in NPA",,"10.1016/S0375-9474(03)01571-9",,"nucl-ex",,"  The cross sections and velocity distributions of heavy residues from the
reaction of 20 AMeV 124Sn + 27Al have been measured at forward angles using the
MARS recoil separator at Texas A&M in a wide mass range. A consistent overall
description of the measured cross sections and velocity distributions was
achieved using a model calculation employing the concept of deep-inelastic
transfer for the primary stage of peripheral collisions, pre-equilibrium
emission and incomplete fusion for the primary stage of more violent central
collisions and the statistical model of multifragmentation (SMM code) for the
deexcitation stage. An alternative calculation employing the sequential binary
decay (GEMINI code) could not reproduce the observed yields of the residues
from violent collisions (A<90) due to different kinematic properties. The
success of SMM demonstrates that the heavy residues originate from events where
a competition of thermally equilibrated fragment partitions takes place rather
than a sequence of binary decays.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 08:02:13 GMT""},{""version"":""v2"",""created"":""Tue, 22 Apr 2003 15:11:01 GMT""},{""version"":""v3"",""created"":""Wed, 28 May 2003 01:09:22 GMT""}]","2009-11-07"
