"astro-ph/0210184","Agnieszka Jacholkowska","A. Falvard, E. Giraud, A. Jacholkowska, J. Lavalle, E. Nuss, F. Piron,
  M. Sapinski (GAM-Montpellier), P. Salati, R. Taillet (LAPTH-Annecy), K.
  Jedamzik, G. Moultaka (LPMT-Montpellier)","Supersymmetric dark matter in M31: can one see neutralino annihilation
  with CELESTE?","Latex, 32 pages, 12 figures, 5 tables","Astropart.Phys. 20 (2004) 467-484","10.1016/j.astropartphys.2003.07.001","GAM-2002/03, LAPTH-937, PM/02-03","astro-ph hep-ph",,"  It is widely believed that dark matter exists within galaxies and clusters of
galaxies. Under the assumption that this dark matter is composed of the
lightest, stable supersymmetric particle, assumed to be the neutralino, the
feasibility of its indirect detection via observations of a diffuse gamma-ray
signal due to neutralino annihilations within M31 is examined. To this end,
first the dark matter halo of the close spiral galaxy M31 is modeled from
observations, then the resultant gamma-ray flux is estimated within
supersymmetric model configurations. We conclude that under favorable
conditions such as the rapid accretion of neutralinos on the central black hole
in M31 and/or the presence of many clumps inside its halo with $r^{-3/2}$ inner
profiles, a neutralino annihilation gamma-ray signal is marginally detectable
by the ongoing collaboration CELESTE.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:14:22 GMT""}]","2015-06-24"
"hep-ph/0210144","Michael Klasen","Michael Klasen","J/Psi production in direct and resolved gamma gamma collisions","Talk presented at the RADCOR/LL 2002 conference. 5 pages, 3
  postscript figures","Nucl.Phys.Proc.Suppl. 116 (2003) 141-145","10.1016/S0920-5632(03)80159-7",,"hep-ph",,"  The production of J/Psi mesons in gamma gamma collisions allows for a test of
factorization in color-octet processes as predicted by NRQCD and observed at
the Tevatron. We calculate the cross sections for J/Psi production with direct
and resolved photons, including also the feed-down from chi_{cJ} and Psi'
decays. Our NRQCD predictions are nicely confirmed by recent data from the
DELPHI collaboration at CERN LEP2.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:29:43 GMT""}]","2009-11-07"
"hep-ph/0210145","Piotr H. Chankowski","A.J. Buras (Munich), P.H. Chankowski (Warsaw), J. Rosiek (Munich and
  Warsaw) and L. Slawianowska (Warsaw)","$\Delta M_{d,s}$, $B^0_{d,s}\to\mu^+\mu^-$ and $B\to X_s\gamma$ in
  Supersymmetry at Large $\tan\beta$","86 pages, 10 postscript figures. Minor changes, some references
  added. Version to be published in Nuclear Physics B","Nucl.Phys.B659:3,2003","10.1016/S0550-3213(03)00190-1","TUM-HEP-479/02, IFT-02/34","hep-ph",,"  We present an effective Lagrangian formalism for the calculation of flavour
changing neutral and charged scalar currents in weak decays including
$SU(2)\times U(1)$ symmetry breaking effects and the effects of the electroweak
couplings $g_1$ and $g_2$. We apply this formalism to the MSSM with large
$\tan\beta$ with the CKM matrix as the only source of flavour violation, heavy
supersymmetric particles and light Higgs bosons. We give analytic formulae for
the neutral and charged Higgs boson couplings to quarks including large
$\tan\beta$ resummed corrections in the $SU(2) \times U(1)$ limit and
demonstrate that these formulae can only be used for a semi-quantitative
analysis. In particular they overestimate the effects of large $\tan\beta$
resummed corrections. We give also improved analytic formulae that reproduce
the numerical results of the full approach within $5-10%$. We present for the
first time the predictions for the branching ratios $B^0_{s,d}\to \mu^+\mu^-$
and the $B^0_{d,s}-\bar B^0_{d,s}$ mass differences $\Delta M_{d,s}$ that
include simultaneously the resummed large $\tan\beta$ corrections, $SU(2)\times
U(1)$ breaking effects and the effects of the electroweak couplings. We perform
an anatomy of the correlation between the increase of the rates of the decays
$B^0_{s,d}\to\mu^+\mu^-$ and the suppression of $\Delta M_s$, that for large
$\tan\beta$ are caused by the enhanced flavour changing neutral Higgs couplings
to down quarks. We take into account the constraint from $B\to X_s \gamma$
clarifying some points in the calculation of the large $\tan\beta$ enhanced
corrections to this decay.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:10:29 GMT""},{""version"":""v2"",""created"":""Wed, 12 Mar 2003 14:33:48 GMT""}]","2014-11-17"
"hep-th/0210076","Christopher T. Hill","Christopher T. Hill","Fractal Theory Space: Spacetime of Noninteger Dimensionality","28 pages, 6 figures; Paper has been amplified with a more detailed
  discussion of a number of technical issues","Phys.Rev.D67:085004,2003","10.1103/PhysRevD.67.085004",,"hep-th hep-ph",,"  We construct matter field theories in ``theory space'' that are fractal, and
invariant under geometrical renormalization group (RG) transformations. We
treat in detail complex scalars, and discuss issues related to fermions,
chirality, and Yang-Mills gauge fields. In the continuum limit these models
describe physics in a noninteger spatial dimension which appears above a RG
invariant ``compactification scale,'' M. The energy distribution of KK modes
above M is controlled by an exponent in a scaling relation of the vacuum energy
(Coleman-Weinberg potential), and corresponds to the dimensionality. For
truncated-s-simplex lattices with coordination number s the spacetime
dimensionality is 1+(3+2ln(s)/ln(s+2)). The computations in theory space
involve subtleties, owing to the 1+3 kinetic terms, yet the resulting
dimensionalites are equivalent to thermal spin systems. Physical implications
are discussed.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:58:55 GMT""},{""version"":""v2"",""created"":""Tue, 29 Oct 2002 21:08:27 GMT""}]","2008-11-26"
"hep-th/0210077","Silvio Paolo Sorella","V.E.R. Lemes, M.S. Sarandy, and S.P. Sorella","Ghost condensates in Yang-Mills theories in the Landau gauge","24 pages, references added, final version to appear in Ann. of Phys","Ann.Phys.308:1-17,2003","10.1016/S0003-4916(03)00129-5",,"hep-th",,"  Ghost condensates of dimension two are analysed in pure SU(N) Yang-Mills
theories by combining the local composite operators technique with the
algebraic BRST renormalization.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:58:39 GMT""},{""version"":""v2"",""created"":""Mon, 21 Oct 2002 18:13:57 GMT""},{""version"":""v3"",""created"":""Tue, 4 Mar 2003 18:50:32 GMT""}]","2008-11-26"
"hep-th/0210078","Nathan Jacob Berkovits","Nathan Berkovits (IFT/UNESP, Sao Paulo)","N=2 Sigma Models for Ramond-Ramond Backgrounds","19 pages harvmac","JHEP 0210 (2002) 071","10.1088/1126-6708/2002/10/071","IFT-P.074/2002","hep-th",,"  Using the U(4) hybrid formalism, manifestly N=(2,2) worldsheet supersymmetric
sigma models are constructed for the Type IIB superstring in Ramond-Ramond
backgrounds. The Kahler potential in these N=2 sigma models depends on four
chiral and antichiral bosonic superfields and two chiral and antichiral
fermionic superfields. When the Kahler potential is quadratic, the model is a
free conformal field theory which describes a flat ten-dimensional target space
with Ramond-Ramond flux and non-constant dilaton. For more general Kahler
potentials, the model describes curved target spaces with Ramond-Ramond flux
that are not plane-wave backgrounds. Ricci-flatness of the Kahler metric
implies the on-shell conditions for the background up to the usual four-loop
conformal anomaly.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:13:11 GMT""}]","2009-11-07"
"hep-th/0210079","Nikolaos Mavromatos","Nick E. Mavromatos (King's Coll. London)","Quantum Gravity, Cosmology, (Liouville) Strings and Lorentz Invariance","25 pages LATEX, uses special macros, invited talk at Beyond the
  Desert 2002, Oulu (Finland), June 2-7 2002 minor typos corrected, references
  added",,,,"hep-th gr-qc hep-ph",,"  I review some aspects of non-critical strings in connection with
Lorentz-Invariance violating approaches to quantum gravity. I also argue how
non-critical strings may provide a unifying framework where string Cosmology
and quantum gravity may be tackled together.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 19:26:00 GMT""},{""version"":""v2"",""created"":""Fri, 11 Oct 2002 10:15:16 GMT""}]","2007-05-23"
"hep-th/0210081","Kimball A. Milton","Kimball A. Milton","Calculating Casimir Energies in Renormalizable Quantum Field Theory","25 pages, REVTeX4, 1 ps figure. Revision includes new subsection 4B
  and Appendix, and other minor corrections","Phys.Rev. D68 (2003) 065020","10.1103/PhysRevD.68.065020","OKHEP-02-05","hep-th",,"  Quantum vacuum energy has been known to have observable consequences since
1948 when Casimir calculated the force of attraction between parallel uncharged
plates, a phenomenon confirmed experimentally with ever increasing precision.
Casimir himself suggested that a similar attractive self-stress existed for a
conducting spherical shell, but Boyer obtained a repulsive stress. Other
geometries and higher dimensions have been considered over the years. Local
effects, and divergences associated with surfaces and edges have been studied
by several authors. Quite recently, Graham et al. have re-examined such
calculations, using conventional techniques of perturbative quantum field
theory to remove divergences, and have suggested that previous self-stress
results may be suspect. Here we show that the examples considered in their work
are misleading; in particular, it is well-known that in two dimensions a
circular boundary has a divergence in the Casimir energy for massless fields,
while for general dimension $D$ not equal to an even integer the corresponding
Casimir energy arising from massless fields interior and exterior to a
hyperspherical shell is finite. It has also long been recognized that the
Casimir energy for massive fields is divergent for $D\ne1$. These conclusions
are reinforced by a calculation of the relevant leading Feynman diagram in $D$
and three dimensions. There is therefore no doubt of the validity of the
conventional finite Casimir calculations.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 21:48:30 GMT""},{""version"":""v2"",""created"":""Thu, 21 Nov 2002 21:48:48 GMT""}]","2009-11-07"
"hep-th/0210082","V. Dmitrasinovic","Issei Nakamura and V. Dmitrasinovic","Linear Sigma model in the Gaussian wave functional approximation II:
  Analyticity of the S-matrix and the effective potential/action","14 pages, 4 ps figures, to appear in Nucl. Phys","Nucl.Phys.A713:133-147,2003","10.1016/S0375-9474(02)01293-9",,"hep-th",,"  We show an explicit connection between the solution to the equations of
motion in the Gaussian functional approximation and the minimum of the
(Gaussian) effective potential/action of the linear $\Sigma$ model, as well as
with the N/D method in dispersion theory. The resulting equations contain
analytic functions with branch cuts in the complex mass squared plane.
Therefore the minimum of the effective action may lie in the complex mass
squared plane. Many solutions to these equations can be found on the second,
third, etc. Riemann sheets of the equation, though their physical
interpretation is not clear. Our results and the established properties of the
S-matrix in general, and of the N/D solutions in particular, guide us to the
correct choice of the Riemann sheet. We count the number of states and find
only one in each spin-parity and isospin channel with quantum numbers
corresponding to the fields in the Lagrangian, i.e. to Castillejo-Dalitz-Dyson
(CDD) poles. We examine the numerical solutions in both the strong and weak
coupling regimes and calculate the Kallen-Lehmann spectral densities and then
use them for physical interpretation.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 06:58:24 GMT""}]","2008-11-26"
"hep-th/0210083","Volker Braun","Ralph Blumenhagen, Volker Braun, Boris Kors, Dieter Lust","The Standard Model on the Quintic","Summary of Talks at SUSY02, 1st Intl. Conference on String
  Phenomenology in Oxford, Strings 2002 and 35th Ahrenshoop Symposium. 36
  pages, harvmac, 1 figure. v2, v3: references added",,,"HU-EP-02/44, SPIN-02/29, ITP-UU-02/47, LPTENS-02/52","hep-th hep-ph",,"  We describe the general geometrical framework of brane world constructions in
orientifolds of type IIA string theory with D6-branes wrapping 3-cycles in a
Calabi-Yau 3-fold, and point out their immediate phenomenological relevance.
These branes generically intersect in points, and the patterns of intersections
govern the chiral fermion spectra and issues of gauge and supersymmetry
breaking in the low energy effective gauge theory on their world volume. In
particular, we provide an example of an intersecting brane world scenario on
the quintic Calabi-Yau with the gauge group and the chiral spectrum of the
Standard Model and discuss its properties in some detail. Additionally we
explain related technical advancements in the construction of supersymmetric
orientifold vacua with intersecting D-branes. Six-dimensional orientifolds of
this type generalize the rather limited set of formerly known orbifolds of type
I, and the presented techniques provide a short-cut to obtain their spectra.
Finally, we comment on lifting configurations of intersecting D6-branes to
M-theory on non-compact G_2 manifolds.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 09:30:06 GMT""},{""version"":""v2"",""created"":""Thu, 17 Oct 2002 17:12:54 GMT""},{""version"":""v3"",""created"":""Thu, 7 Nov 2002 13:09:40 GMT""}]","2007-05-23"
"hep-th/0210084","Rajsekhar Bhattacharyya","R.Bhattacharyya","String in noncommutative background: another approach","7 pages",,,,"hep-th",,"  We propose a model action in 1+1 flat space-time (compact in spatial
dimension) embedded in D flat space-time with a non dynamical space-time
dependent two vector. For the above constrained system Dirac brackets of
suitably defined co-ordinates turn out to be non zero and under specific choice
of the two vector the model action reduces to a general action of open string
in a noncommutative background where we find the natural embedding of the open
string action of in presence of magnetic field on D-brane.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:51:14 GMT""}]","2007-05-23"
"hep-th/0210085","Soon-Tae Hong","Soon-Tae Hong, Yong-Wan Kim, Young-Jai Park and Klaus D. Rothe","Constraint structure of O(3) nonlinear sigma model revisited","17 pages","J.Phys.A36:1643-1654,2003","10.1088/0305-4470/36/6/309","HD-THEP-02-30, SOGANG-HEP 296/02","hep-th",,"  We study the constraint structure of the O(3) nonlinear sigma model in the
framework of the Lagrangian, symplectic, Hamilton-Jacobi as well as the
Batalin-Fradkin-Tyutin embedding procedure.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 12:48:24 GMT""}]","2008-11-26"
"hep-th/0210086","Cristiano Germani","Cristiano Germani, Carlos F. Sopuerta (Institute of Cosmology and
  Gravitation, Portsmouth U.)","Varying Fundamental Constants from a String-inspired Brane World Model","6 pages, 1 fig., LaTeX (Kluwer style). Contribution to JENAM 2002
  (VFC workshop) Corrections added to match final version","Astrophys.Space Sci. 283 (2003) 487-492","10.1023/A:1022508818739",,"hep-th astro-ph",,"  We report results on the construction of cosmological braneworld models in
the context of the Einstein-Gauss-Bonnet gravity, which include the leading
correction to the Einstein-Hilbert action suggested by superstring theory. We
obtain and study the equations governing the dynamics of the standard
cosmological models. We find that they can be written in the same form as in
the case of the Randall-Sundrum model but with time-varying four-dimensional
gravitational and cosmological constants. Finally, we discuss the cosmological
evolution predicted by these models and their compatibility with observational
data.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 13:36:38 GMT""},{""version"":""v2"",""created"":""Thu, 17 Oct 2002 22:14:37 GMT""}]","2009-11-07"
"hep-th/0210087","Daniel Arnaudon","D. Arnaudon, A. Sedrakyan, T. Sedrakyan","Multi-leg integrable ladder models","20 pages; Latex2e with epic,eepic macros","Nucl.Phys. B676 (2004) 615-636","10.1016/j.nuclphysb.2003.11.004","LAPTH-944/02","hep-th cond-mat math.QA",,"  We construct integrable spin chains with inhomogeneous periodic disposition
of the anisotropy parameter. The periodicity holds for both auxiliary (space)
and quantum (time) directions. The integrability of the model is based on a set
of coupled Yang-Baxter equations. This construction yields P-leg integrable
ladder Hamiltonians. We analyse the corresponding quantum group symmetry.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:13:51 GMT""}]","2010-04-05"
"hep-th/0210088","Gianfranco Pradisi","Gianfranco Pradisi","Magnetized (Shift-)Orientifolds","LaTeX file, 8 pages, based on the talk presented at the ``First
  International Conference On String Phenomenology'', Oxford, 6-11 july 2002.
  Eq.(1) and table 3 corrected. 1 reference added",,,"ROM2F-02/25","hep-th",,"  We study four dimensional $Z_2 \times Z_2$ (shift)-orientifolds in presence
of internal magnetic fields and NS-NS $B$-field backgrounds, describing in some
detail one explicit example with N=1 supersymmetry. These models are related by
$T$-duality to orientifolds with $D$-branes intersecting at angles and exhibit,
due to the background fields, a rank reduction of the gauge group and multiple
matter families. Moreover, the low-energy spectra are chiral and anomaly free
if $D5$-branes are present along the magnetized directions.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:14:50 GMT""},{""version"":""v2"",""created"":""Wed, 15 Oct 2003 12:53:54 GMT""}]","2007-05-23"
"math-ph/0210017","Bruno Nachtergaele","Bruno Nachtergaele, Wolfgang L Spitzer, Shannon Starr","On the dynamics of interfaces in the ferromagnetic XXZ chain under weak
  perturbations","20 pages, 2 figures, uses conm-p-l.cls. 1 reference added","in Y. Karpeshina, G. Stolz, R, Weikard, and Y. Zeng (Eds), {\it
  Advances in Differential Equations and Mathematical Physics}, Contempary
  Mathematics vol. 327, American Mathematical Society, 2003, pp 251--270",,,"math-ph math.MP",,"  We study the time evolution of interfaces of the ferromagnetic XXZ chain in a
magnetic field. A scaling limit is introduced where the strength of the
magnetic field tends to zero and the microscopic time to infinity while keeping
their product constant. The leading term and its first correction are
determined and further analyzed in more detail for the case of a uniform
magnetic field.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:11:27 GMT""},{""version"":""v2"",""created"":""Tue, 8 Oct 2002 21:45:04 GMT""},{""version"":""v3"",""created"":""Sat, 23 Nov 2002 00:16:26 GMT""}]","2007-05-23"
"math/0210121","Balazs Szendroi","Balazs Szendroi","Artin group actions on derived categories of threefolds","25 pages, 2 figures, one inaccuracy corrected",,,,"math.AG",,"  Motivated by the enhanced gauge symmetry phenomenon of the physics literature
and mirror symmetry, this paper constructs an action of an Artin group on the
derived category of coherent sheaves of a smooth quasiprojective threefold
containing a configuration of ruled surfaces described by a finite type Dynkin
diagram. The action extends over deformations of the threefold via a compatible
action of the corresponding reflection group on the base of its deformation
space. All finite type Dynkin diagrams are realized.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:48:47 GMT""},{""version"":""v2"",""created"":""Tue, 15 Oct 2002 15:47:06 GMT""}]","2007-05-23"
"math/0210122","Balazs Szendroi","Balazs Szendroi","Enhanced gauge symmetry and braid group actions","16 pages, 5 figures","Commun.Math.Phys. 238 (2003) 35-51","10.1007/s00220-003-0867-8",,"math.AG hep-th",,"  Enhanced gauge symmetry appears in Type II string theory (as well as F- and
M-theory) compactified on Calabi--Yau manifolds containing exceptional divisors
meeting in Dynkin configurations. It is shown that in many such cases, at
enhanced symmetry points in moduli a braid group acts on the derived category
of sheaves of the variety. This braid group covers the Weyl group of the
enhanced symmetry algebra, which itself acts on the deformation space of the
variety in a compatible fashion. Extensions of this result are given for
nontrivial $B$-fields on K3 surfaces, explaining physical restrictions on the
$B$-field, as well as for elliptic fibrations. The present point of view also
gives new evidence for the enhanced gauge symmetry content in the case of a
local $A_{2n}$-configuration in a threefold having global $\Z/2$ monodromy.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:42:44 GMT""}]","2009-11-07"
"math/0210123","Mitja Mastnak","Mitja Mastnak","On the cohomology of a smash product of Hopf algebras","13 pages",,,,"math.RA",,"  A five term sequence for the low degree cohomology of a smash product of
(cocommutative) Hopf algebras is obtained, generalizing that of Tahara for a
semi-direct product of groups.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:13:17 GMT""}]","2007-05-23"
"math/0210124","John Etnyre","Tobias Ekholm, John Etnyre, and Michael G. Sullivan","Legendrian Submanifolds in $R^{2n+1}$ and Contact Homology","One example removed, minor updates to text",,,,"math.SG math.GT",,"  Contact homology for Legendrian submanifolds in standard contact
$(2n+1)$-space is rigorously defined using moduli spaces of holomorphic disks
with Lagrangian boundary conditions in complex $n$-space. It provides new
invariants of Legendrian isotopy. Using these invariants the theory of
Legendrian isotopy is shown to be very rich. For example, infinite families of
pairwise non-isotopic Legendrian $n$-spheres and $n$-tori, which are
indistinguishable by means of previously known invariants, are constructed.
  In a sense, the definition of contact homology presented in this paper is a
high dimensional analog of the work of Chekanov and others on Legendrian
1-knots in 3-space.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:18:32 GMT""},{""version"":""v2"",""created"":""Thu, 31 Oct 2002 23:04:45 GMT""},{""version"":""v3"",""created"":""Thu, 5 Dec 2002 17:48:29 GMT""}]","2007-05-23"
"math/0210125","Gabriele Vezzosi","Bertrand Toen, Gabriele Vezzosi","A remark on K-theory and S-categories","23 pages; final version, accepted for publication in 'Topology'",,,,"math.KT math.AG math.AT math.CT",,"  It is now well known that the K-theory of a Waldhausen category depends on
more than just its (triangulated) homotopy category (see [Schlichting]). The
purpose of this note is to show that the K-theory spectrum of a (good)
Waldhausen category is completely determined by its Dwyer-Kan simplicial
localization, without any additional structure. As the simplicial localization
is a refined version of the homotopy category which also determines the
triangulated structure, our result is a possible answer to the general
question: ``To which extent $K$-theory is not an invariant of triangulated
derived categories ?''
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 18:23:31 GMT""},{""version"":""v2"",""created"":""Thu, 2 Oct 2003 18:44:17 GMT""}]","2007-05-23"
"math/0210126","Lorenzo Ramero","Lorenzo Ramero","Springer correspondence via p-adic analytic methods","4 pages LaTeX",,,,"math.RT math.AG",,"  We show that the standard proof of the Springer correspondence in positive
characteristic (via Deligne-Fourier transform) works verbatim in characteristic
zero, up to replacing Deligne-Fourier transform by another etale Fourier
transform introduced by the author in a previous work. The construction of this
Fourier transform uses methods from p-adic analytic geometry.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 19:37:33 GMT""}]","2007-05-23"
"math/0210127","Peter S. Ozsvath","Peter Ozsvath and Zoltan Szabo","Heegaard Floer homologies and contact structures","22 pages, 3 figures",,,,"math.SG math.GT",,"  Given a contact structure on a closed, oriented three-manifold $Y$, we
describe an invariant which takes values in the three-manifold's Floer homology
$\HFa$. This invariant vanishes for overtwisted contact structures and is
non-zero for Stein fillable ones. The construction uses of Giroux's
interpretation of contact structures in terms of open book decompositions, and
the knot Floer homologies introduced in math.GT/0209056.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 20:44:30 GMT""}]","2007-05-23"
"math/0210128","Ben Weinkove","Ben Weinkove","Singularity formation in the Yang-Mills flow","13 pages. Final version, to appear in Calculus of Variations","Calc. Var. Partial Differential Equations 19 (2004), no. 2,
  211--220",,,"math.DG",,"  This paper studies rapidly forming singularities in the Yang-Mills flow. It
is shown that a sequence of blow-ups near the singular point converges, modulo
the gauge group, to a homothetically shrinking soliton with non-zero curvature.
The proof uses Hamilton's monotonicity formula. Examples of homothetically
shrinking solitons are given in the case of trivial bundles over R^n for
dimensions 5 through 9.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 22:21:20 GMT""},{""version"":""v2"",""created"":""Sun, 23 Feb 2003 17:24:46 GMT""},{""version"":""v3"",""created"":""Sat, 31 May 2003 19:57:34 GMT""}]","2007-05-23"
"math/0210129","Anurag K. Singh","Claudia M. Miller, Anurag K. Singh","Intersection multiplicities over Gorenstein rings",,"Mathematische Annalen, 317 (2000) 155-171",,,"math.AC",,"  We construct a complex of free-modules over a Gorenstein ring R of dimension
five, for which the Euler characteristic and Dutta multiplicity are different.
This complex is the resolution of an R-module of finite length and finite
projective dimension. As a consequence, the ring R has a nonzero Todd class
tau_3(R) and a bounded free complex whose local Chern character does not vanish
on this class.
  In the course of our work, we construct a module N of finite length and
finite projective dimension over the hypersurface A=K[u,v,w,x,y,z]/(ux+vy+wz),
such that the Serre intersection multiplicity of the modules N and A/(u,v,w)A
is -2.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 23:27:25 GMT""}]","2007-05-23"
"math/0210130","Anurag K. Singh","Kazuhiko Kurano, Anurag K. Singh","Todd classes of affine cones of Grassmannians",,"International Mathematics Research Notices 35 (2002) 1841-1855",,,"math.AC",,"  A local ring R is said to be a Roberts ring if tau_R([R]) = [Spec R]_dim R,
where tau_R is the Riemann-Roch map for Spec R. Such rings satisfy a vanishing
theorem for the Serre intersection multiplicity, as was established by Paul
Roberts in his proof of the Serre vanishing conjecture. It is known that
complete intersections are Roberts rings, and the first author proved that a
determinantal ring is a Roberts ring precisely if it is complete intersection.
Let A_d(n) denote the affine cone of the Grassmannian G_d(n) under the Plucker
embedding. We determine which of the rings A_d(n) are Roberts rings.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 00:29:06 GMT""}]","2007-05-23"
"math/0210131","Shunsuke Takagi","Nobuo Hara and Shunsuke Takagi","On a generalization of test ideals","11 pages, AMS-LaTeX; v.2: minor changes, to appear in Nagoya Math. J",,,,"math.AC",,"  The test ideal $\tau(R)$ of a ring $R$ of prime characteristic is an
important object in the theory of tight closure. In this paper, we study a
generalization of the test ideal, which is the ideal $\tau(\a^t)$ associated to
a given ideal $\a$ with rational exponent $t \ge 0$. We first prove a key lemma
of this paper, which gives a characterization of the ideal $\tau(\a^t)$. As
applications of this key lemma, we generalize the preceding results on the
behavior of the test ideal $\tau(R)$. Moreover, we prove an analog of so-called
Skoda's theorem, which is formulated algebraically via adjoint ideals by Lipman
in his proof of the ""modified Brian\c{c}on--Skoda theorem.""
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 01:47:03 GMT""},{""version"":""v2"",""created"":""Wed, 3 Dec 2003 06:47:05 GMT""}]","2007-05-23"
"math/0210132","Leonardo Zapponi","Leonardo Zapponi","Specialization of polynomial covers of prime degree","20 pages, 19 figures",,,,"math.AG math.NT",,"  Let K be a complete field of unequal characteristics $(0,p)$. The aim of this
paper is to describe the the semi-stable models for covers $\bold
P^1_K@>>>\bold P^1_K$ of degree p, unramified outside $r\leq p$ points and
totally ramified above one of them, under the assumption that the ramified
locus has a particular reduction type (which always occurs if $r\leq4$). We are
principally concerned with the minimal semi-stable models which separate the
ramified fibers.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 10:24:42 GMT""}]","2007-05-23"
"math/0210133","Michael Joswig","Michael Joswig","Beneath-and-Beyond revisited","21 pages, 2 figures; v2: added the bibliography which was erroneously
  omitted in v1",,,,"math.MG math.CO",,"  It is shown how the Beneath-and-Beyond algorithm can be used to yield another
proof of the equivalence of V- and H-representations of convex polytopes. In
this sense this paper serves as the sketch of an introduction to polytope
theory with a focus on algorithmic aspects. Moreover, computational results are
presented to compare Beneath-and-Beyond to other convex hull implementations.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:15:35 GMT""},{""version"":""v2"",""created"":""Thu, 10 Oct 2002 11:28:49 GMT""}]","2007-05-23"
"math/0210134","Ildefonso Castro","Ildefonso Castro","Lagrangian surfaces with circullar ellipse of curvature in complex space
  forms","9 pages. To appear in Mathematical Proceedings of the Cambridge
  Philosophical Society","Math. Proc. Cambridge Philos. Soc. 136 (2004), 239-245","10.1017/S0305004103007126","02-53-01-016","math.DG",,"  We classify the Lagrangian orientable surfaces in complex space forms with
the property that the ellipse of curvature is always a circle. As a
consequence, we obtain new characterizations of the Clifford torus of the
complex projective plane and of the Whitney spheres in the complex projective,
complex Euclidean and complex hyperbolic planes.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:18:04 GMT""}]","2015-06-26"
"math/0210135","Andrey N. Tyurin","Andrei N. Tyurin","On the Mumford - Narasimhan problem","To Prof. M. Narasimhan on his 70th birthday",,,,"math.AG",,"  Here we discuss an old problem of algebraic geometry using some new
techniques. Namely we prove that over a generic curve stable vector bundle
admits the Schottki representation.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:31:34 GMT""}]","2007-05-23"
"math/0210136","Andreas Seeger","Michael Cowling, Brian Dorofaeff, Andreas Seeger, James Wright","A family of singular oscillatory integral operators and failure of weak
  amenability",,"Duke Mathematical Journal, 127, No.3 (2005), 429--486.",,,"math.FA math.CA",,"  A locally compact group $G$ is said to be weakly amenable if the Fourier
algebra $A(G)$ admits completely bounded approximative units. Consider the
family of groups $G_n=SL(2,\Bbb R)\ltimes H_n$ where $n\ge 2$, $H_n$ is the
$2n+1$ dimensional Heisenberg group and $SL(2,\Bbb R)$ acts via the irreducible
representation of dimension $2n$ fixing the center of $H_n$. We show that these
groups fail to be weakly amenable. Following an idea of Haagerup for the case
$n=1$ one can reduce matters to the problem of obtaining nontrivial uniform
bounds for a family of singular oscillatory integral operators with product
type singularities and polynomial phases.
  The result on the family $G_n$ and various other previously known results are
used to settle the question of weak amenability for a large class of Lie
groups, including the algebraic groups; we assume that the Levi-part has finite
center.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:37:20 GMT""}]","2010-03-15"
