"astro-ph/0210617","Dan Hooper","Dan Hooper and Brenda Dingus","Limits on Supersymmetric Dark Matter From EGRET Observations of the
  Galactic Center Region","4 pages, 3 figures","Phys.Rev. D70 (2004) 113007","10.1103/PhysRevD.70.113007","MAD-PH-02-1310, LAUR-02-6743","astro-ph hep-ph",,"  In most supersymmetic models, neutralino dark matter particles are predicted
to accumulate in the Galactic center and annihilate generating, among other
products, gamma rays. The EGRET experiment has made observations in this
region, and is sensitive to gamma rays from 30 MeV to $\sim$30 GeV. We have
used an improved point source analysis including an energy dependent point
spread function and an unbinned maximum likelihood technique, which has allowed
us to significantly lower the limits on gamma ray flux from the Galactic
center. We find that the present EGRET data can limit many supersymmetric
models if the density of the Galactic dark matter halo is cuspy or spiked
toward the Galactic center. We also discuss the ability of GLAST to test these
models.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 19:24:14 GMT""}]","2009-11-07"
"hep-ph/0210421","Javier Magnin","C.Avila, J.Magnin, J.C. Sanabria","Pion and kaon parton distribution functions in a meson cloud model","5 pages, RevTex4, 3 eps figures included","Phys.Rev.D67:034022,2003; Erratum-ibid.D68:079902,2003","10.1103/PhysRevD.67.034022 10.1103/PhysRevD.68.079902",,"hep-ph",,"  In a model of hadrons in which the hadron wave function at low $Q^2$ is
represented by a hadron-like Fock state expansion, we calculate the $\pi$ and
$K$ parton distribution functions by comparing to experimental data. We show
that the model gives an accurate description of available data and, in
addition, gives a clear prediction of the initial flavors to be considered at
the low $Q^2$ scale where perturbative evolution starts
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:51:39 GMT""}]","2014-11-17"
"hep-ph/0210422","Matthias Hanauske","I.N. Mishustin, M. Hanauske, A. Bhattacharyya, L.M. Satarov, H.
  Stoecker and W. Greiner","Catastrophic rearrangement of a compact star due to the quark core
  formation","Latex, 14 pages including five postscript figures","Phys.Lett. B552 (2003) 1-8","10.1016/S0370-2693(02)03108-8",,"hep-ph astro-ph gr-qc nucl-th",,"  We study properties of compact stars with the deconfinement phase transition
in their interiors. The equation of state of cold baryon-rich matter is
constructed by combining a relativistic mean-field model for the hadronic phase
and the MIT Bag model for the deconfined phase. In a narrow parameter range two
sequences of compact stars (twin stars), which differ by the size of the quark
core, have been found. We demonstrate the possibility of a rapid transition
between the twin stars with the energy release of about $10^{52}$ ergs. This
transition should be accompanied by the prompt neutrino burst and the delayed
gamma-ray burst.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 12:24:30 GMT""}]","2009-11-07"
"hep-ph/0210423","Anita Prapotnik","Svjetlana Fajfer, Anita Prapotnik, Paul Singer","Charm Radiative Decays with Neutral Mesons D^0 -> K^0(bar) pi^0 gamma,
  D^0 -> K^0(bar) eta (eta') gamma","10 pages, 2 figures","Phys.Lett. B550 (2002) 77-84","10.1016/S0370-2693(02)02964-7",,"hep-ph",,"  The radiative decays D^0 -> K^0(bar) P^0 gamma with nonresonant K^0(bar) P^0
(P^0 = pi^0, eta, eta') are considered within the framework which combines
heavy quark effective theory and the chiral Lagrangian. Due to neutral mesons
the amplitudes do not have bremsstrahlung contributions. We assume
factorization for the weak matrix elements. Light (virtual) vector mesons are
found to give the main contribution to the decay amplitudes. The decay D^0 ->
K^0(bar) pi^0 gamma is predicted to have a branching ratio of 3 x 10^(-4), with
comparable contributions from parity-conserving and parity-violating parts of
the amplitude. The decays with eta (eta') in the final state are expected with
branching ratios of 1.1 x 10^(-5) and 0.4x10^(-7) respectively and are mainly
parity conserving.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 13:24:14 GMT""}]","2009-11-07"
"hep-ph/0210424","Abdesslam Arhrib","Andrew Akeroyd and Abdesslam Arhrib","Single and pair production of MSSM Higgs bosons as a probe of
  scalar-pseudoscalar mixing at e+e- colliders","7 pages, latex, 2 eps figures, preprints LPHEA/2002-05,
  MPI-PhT/2002-64, Talk given at the 10th International Conference on
  Supersymmetry and Unification of Fundamental Interactions, DESY, Hamburg,
  Germany, June 17--23, 2002",,,,"hep-ph",,"  We study the associated production of the $A^0$ neutral CP--odd Higgs boson
with a neutral gauge boson $Z$ as well as single production of $A^0$ via
$e^+e^- \to \nu_e {\bar\nu}_e A^0$ at the one loop level in the Minimal
Supersymmetric Standard Model (MSSM). We show that the MSSM cross--section may
be enhanced by light SUSY particles. Then we study the production processes
$e^+e^-\to H^0_iZ$, $H^0_i\nu_e\bar \nu_e$ and $H^0_iH^0_j$ in the context of
the MSSM with scalar-pseudoscalar mixing. In a given channel we show that the
cross--section for all i (=1,2,3) can be above 0.1 fb provided $M_{H_{2,3}}\la
300$ GeV. This should be detectable at a Next Linear Collider and would provide
evidence for scalar--pseudoscalar mixing.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 13:39:08 GMT""}]","2007-05-23"
"hep-ph/0210425","Rohini M. Godbole","R.M. Godbole","Three-body decays of $\tilde \chi_1^0$ in $\rp$ models with dominant
  $\lambda$ and $\lambda'$ couplings","8 pages, five figures, Talk presented at the 10th international
  conference on supersymmetry and unification of fundamental interactions,
  SUSY02, June 17-23, 2002, Hamburg (Germany)",,,"CERN-TH/2002-305","hep-ph",,"  Decays of the lightest neutralino are studied in $R_p$-violating models, with
operators $\lambda^\prime L Q D^c$ and $\lambda L L E^c$ involving
third-generation matter fields and with dominant $\lambda^\prime$ and $\lambda$
couplings. Decays with the top-quark among the particles produced are
considered, in addition to those with an almost massless final state.
Phenomenological analyses for examples of both classes of decays are presented.
No specific assumption on the composition of the lightest neutralino is made.
Our formulae can easily be generalized to study decays of heavier neutralinos.
We also discuss effects of the $\rp$ decays of the $\tilde \chi_1^0$ on the
possible faking of the $H^\pm$ signal at the LHC by the recently pointed out
$\tilde \tau \bar b t$ production through $\lambda'_{333}$ coupling.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:06:38 GMT""}]","2007-05-23"
"hep-ph/0210426","Michael Klasen","Michael Klasen (Univ. Hamburg)","Calculating two- and three-body decays with FeynArts and FormCalc","8 pages, 1 figure","Int.J.Mod.Phys. C14 (2003) 1273-1278","10.1142/S012918310300539X","DESY 02-179","hep-ph",,"  The Feynman diagram generator FeynArts and the computer algebra program
FormCalc allow for an automatic computation of 2->2 and 2->3 scattering
processes in High Energy Physics. We have extended this package by four new
kinematical routines and adapted one existing routine in order to accomodate
also two- and three-body decays of massive particles. This makes it possible to
compute automatically two- and three-body particle decay widths and decay
energy distributions as well as resonant particle production within the
Standard Model and the Minimal Supersymmetric Standard Model at the tree- and
loop-level. The use of the program is illustrated with three standard examples:
h->b\bar{b}, \mu->e\bar{\nu}_e\nu_\mu, and Z->\nu_e\bar{\nu}_e.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:34:23 GMT""}]","2009-11-07"
"hep-th/0210281","Alexander Gorsky","A. Gorsky","Konishi anomaly and N=1 effective superpotentials from matrix models","Latex, 8 pages, misprint and the normalization of the condensate in
  the elliptic model are corrected","Phys.Lett. B554 (2003) 185-189","10.1016/S0370-2693(03)00004-2",,"hep-th",,"  We discuss the restrictions imposed by the Konishi anomaly on the matrix
model approach to the calculation of the effective superpotentials in N=1 SUSY
gauge theories with different matter content. It is shown that they correspond
to the anomaly deformed Virasoro $L_0$ constraints .
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 16:15:35 GMT""},{""version"":""v2"",""created"":""Thu, 31 Oct 2002 10:03:09 GMT""}]","2009-11-07"
"hep-th/0210282","Drozdov","I. Drozdov","Vacuum polarization by a magnetic flux of special rectangular form","28 pages, 6 figures",,"10.1142/S0217751X03015258",,"hep-th",,"  We consider the ground state energy of a spinor field in the background of a
square well shaped magnetic flux tube. We use the zeta- function regularization
and express the ground state energy as an integral involving the Jost function
of a two dimensional scattering problem. We perform the renormalization by
subtracting the contributions from first several heat kernel coefficients. The
ground state energy is presented as a convergent expression suited for
numerical evaluation. We discuss corresponding numerical calculations. Using
the uniform asymptotic expansion of the special functions entering the Jost
function we are able to calculate higher order heat kernel coefficients.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:13:43 GMT""}]","2009-11-07"
"hep-th/0210283","Skachkov","N.B.Skachkov","A remark about unitary representations of Lorentz group and an equation
  for zero mass particles","4 pages, latex",,,,"hep-th",,"  In the present note the expansion of the wave function of a massless particle
(with the definite value of its helicity) over the untary irreducible
representaions of the Lorentz group (defined on the light cone) is used as for
the analog of the Fourier transformation for deriving of an equation in the
relativistic configuration representation.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:33:16 GMT""}]","2007-05-23"
"hep-th/0210284","Daniel Ursescu","M Tomaselli, L.C. Liu, T. Kuehl, W. Noertershaeuser, D. Ursescu, and
  S. Fritzsche","Cluster Transformation Coefficients for Structure and Dynamics
  Calculations in n-Particle Systems: Atoms, Nuclei, and Quarks","13 pages, 5 figures, Wigner Proceedings for Conference Wigner
  Centenial Pecs, July 8-12, 2002",,"10.1088/1464-4266/5/3/376",,"hep-th",,"  The structure and dynamics of an n-particle system are described with coupled
nonlinear Heisenberg's commutator equations where the nonlinear terms are
generated by the two-body interaction that excites the reference vacuum via
particle-particle and particle-hole excitations. Nonperturbative solutions of
the system are obtained with the use of dynamic linearization approximation and
cluster transformation coefficients. The dynamic linearization approximation
converts the commutator chain into an eigenvalue problem. The cluster
coefficients factorize the matrix elements of the (n)-particles or
particle-hole systems in terms of the matrix elements of the (n-1)-systems
coupled to a particle-particle, particle-hole, and hole-hole boson. Group
properties of the particle-particle, particle-hole, and hole-hole permutation
groups simplify the calculation of these coefficients. The particle-particle
vacuum-excitations generate superconductive diagrams in the dynamics of
3-quarks systems. Applications of the model to fermionic and bosonic systems
are discussed.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:40:52 GMT""}]","2016-09-06"
"hep-th/0210285","Chung-I. Tan","Richard C. Brower (Boston University), Samir D. Mathur (Ohio State
  University), Chung-I Tan (Brown University)","Brane World Gravity in an AdS Black Hole","25 pages, latex","Nucl.Phys. B661 (2003) 344-364","10.1016/S0550-3213(03)00339-0","Brown-HET-1316","hep-th",,"  We consider a model of brane world gravity in the context of non-conformal
non-SUSY matter. In particular we modify the earlier strong coupling solution
to the glueball spectrum in an $AdS^7$ Black Hole by introducing a
Randall-Sundrum Planck brane as a UV cut-off. The consequence is a new
normalizable zero mass tensor state, which gives rise to an effective
Einstein-Hilbert theory of gravity, with exponentially small corrections set by
the mass gap to the discrete glueball spectrum. However the simplest
microscopic theory for the Planck brane is found to have a tachyonic
instability in the radion mode.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 23:06:45 GMT""}]","2015-06-26"
"hep-th/0210286","Kimball A. Milton","Iver Brevik, Kimball A. Milton, and Sergei D. Odintsov","Entropy Bounds in Spherical Space","9 pages, no figures, requires sc3conf.sty",,,"OKHEP-02-09","hep-th",,"  Exact calculations are given for the Casimir energy for various fields in
$R\times S^3$ geometry. The Green's function method naturally gives a result in
a form convenient in the high-temperature limit, while the statistical
mechanical approach gives a form appropriate for low temperatures. The
equivalence of these two representations is demonstrated. Some discrepancies
with previous work are noted. In no case, even for ${\cal N}=4$ SUSY, is the
ratio of entropy to energy found to be bounded.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 23:49:46 GMT""}]","2007-05-23"
"hep-th/0210287","Dzhunushaliev Vladimir","Vladimir Dzhunushaliev and Douglas Singleton","Ginzburg - Landau equation from SU(2) gauge field theory","7 pages, LATEX","Mod.Phys.Lett. A18 (2003) 955-966","10.1142/S0217732303010776",,"hep-th hep-ph",,"  The dual superconductor picture of the QCD vacuum is thought to describe
various aspects of the strong interaction including confinement. Ordinary
superconductivity is described by the Ginzburg-Landau (GL) equation. In the
present work we show that it is possible to arrive at a GL-like equation from
pure SU(2) gauge theory. This is accomplished by using Abelian projection to
split the SU(2) gauge fields into an Abelian subgroup and its coset. The two
gauge field components of the coset part act as the effective, complex, scalar
field of the GL equation. The Abelian part of the SU(2) gauge field is then
analogous to the electromagnetic potential in the GL equation. An important
aspect of the dual superconducting model is for the GL Lagrangian to have a
spontaneous symmetry breaking potential, and the existence of Nielsen-Olesen
flux tube solutions. Both of these require a tachyonic mass for the effective
scalar field. Such a tachyonic mass term is obtained from the condensation of
ghost fields.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 02:56:29 GMT""}]","2009-11-07"
"hep-th/0210288","Volkmar Putz","J. M. Grimstrup, B. Kloib\""ock, L. Popp, V. Putz, M. Schweda, M.
  Wickenhauser","The Energy-Momentum Tensor in Noncommutative Gauge Field Models","11 pages, completed references","Int.J.Mod.Phys. A19 (2004) 5615-5624","10.1142/S0217751X04021007",,"hep-th",,"  We discuss the different possibilities of constructing the various
energy-momentum tensors for noncommutative gauge field models. We use Jackiw's
method in order to get symmetric and gauge invariant stress tensors--at least
for commutative gauge field theories. The noncommutative counterparts are
analyzed with the same methods. The issues for the noncommutative cases are
worked out.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 10:04:26 GMT""},{""version"":""v2"",""created"":""Wed, 11 Dec 2002 13:41:52 GMT""},{""version"":""v3"",""created"":""Fri, 17 Jan 2003 10:12:35 GMT""},{""version"":""v4"",""created"":""Tue, 18 Mar 2003 10:38:22 GMT""}]","2009-11-07"
"hep-th/0210289","Dionisio Bazeia","D. Bazeia, F.A. Brito, W. Freire, R.F. Ribeiro","Confining potential in a color dielectric medium with parallel domain
  walls","RevTex4, 5 pages, 1 figure; version to appear in Int. J. Mod. Phys. A","Int.J.Mod.Phys. A18 (2003) 5627-5636","10.1142/S0217751X03015714",,"hep-th hep-lat hep-ph",,"  We study quark confinement in a system of two parallel domain walls
interpolating different color dielectric media. We use the phenomenological
approach in which the confinement of quarks appears considering the QCD vacuum
as a color dielectric medium. We explore this phenomenon in QCD_2, where the
confinement of the color flux between the domain walls manifests, in a scenario
where two 0-branes (representing external quark and antiquark) are connected by
a QCD string. We obtain solutions of the equations of motion via first-order
differential equations. We find a new color confining potential that increases
monotonically with the distance between the domain walls.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 12:19:53 GMT""},{""version"":""v2"",""created"":""Mon, 4 Nov 2002 14:26:59 GMT""},{""version"":""v3"",""created"":""Thu, 10 Apr 2003 17:14:36 GMT""}]","2009-11-07"
"hep-th/0210290","Michele Trapletti","M. Trapletti","Open string models with Scherk-Schwarz SUSY breaking","5 pages. Talk given at SUSY02, ``The 10th International Conference on
  Supersymmetry and unification of Fundamental Interactions'', DESY, Hamburg,
  June 17-23, 2002",,,"SISSA-74/2002/EP","hep-th",,"  We apply the well-known Scherk-Schwarz supersymmetry breaking mechanism in an
open string context. We construct a new Z_3\times Z_3^\prime model, containing
only D9-branes, and rederive from a more geometric perspective the known
Z_6^\prime\times Z_2^\prime model, containing D9, D5 and \bar D 5 branes. We
show recent results about the study of quantum instability of these models.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:28:31 GMT""}]","2007-05-23"
"hep-th/0210291","Riccardo Argurio","Riccardo Argurio, Vanicson L. Campos, Gabriele Ferretti, Rainer Heise","Exact Superpotentials for Theories with Flavors via a Matrix Integral","7 pages, v2: typos involving signs fixed; v3: version to appear in
  Phys.Rev.D","Phys.Rev.D67:065005,2003","10.1103/PhysRevD.67.065005",,"hep-th",,"  We extend and test the method of Dijkgraaf and Vafa for computing the
superpotential of N=1 theories to include flavors in the fundamental
representation of the gauge group. This amounts to computing the contribution
to the superpotential from surfaces with one boundary in the matrix integral.
We compute exactly the effective superpotential for the case of gauge group
U(N_c), N_f massive flavor chiral multiplets in the fundamental and one massive
chiral multiplet in the adjoint, together with a Yukawa coupling. We compare up
to sixth-order with the result obtained by standard field theory techniques in
the already non trivial case of N_c=2 and N_f=1. The agreement is perfect.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:11:01 GMT""},{""version"":""v2"",""created"":""Thu, 31 Oct 2002 09:59:23 GMT""},{""version"":""v3"",""created"":""Fri, 14 Feb 2003 12:54:28 GMT""}]","2010-12-03"
"hep-th/0210292","Fernando Quevedo","F. Quevedo","Lectures on string/brane cosmology","75 pages, 29 figures, lectures delivered in January 2002 at the third
  RTN school on ``The Quantum Structure of Spacetime and the Geometric Nature
  of Fundamental Interactions'', Utrecht","Class.Quant.Grav.19:5721-5779,2002","10.1088/0264-9381/19/22/304","DAMTP-2002-128","hep-th astro-ph hep-ph",,"  An overview is presented of some cosmological aspects of string theory.
Recent developments are emphasised, especially the attempts to derive inflation
or alternatives to inflation from the dynamics of branes in string theory. Time
dependent backgrounds with potential cosmological implications, such as those
provided by negative tension branes and S-branes and the rolling string tachyon
are also discussed.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:50:02 GMT""}]","2008-11-26"
"math-ph/0210049","Claudio Meneghini","Claudio Meneghini","A weaker geodesic completeness and Clifton-Pohl torus",,,,,"math-ph math.MP",,"  We propose a new definition of geodesic completeness, based on analytical
continuation in the complex domain: we apply this idea to Clifton-Pohl torus,
relating, for each geodesic, completeness to the value of a function of initial
conditions, called 'impulse'.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:17:17 GMT""}]","2007-05-23"
"math-ph/0210051","Volker Bach","Volker Bach, Frederic Klopp and Heribert Zenk","Mathematical analysis of the photoelectric effect","See also http://www.intlpress.com/ATMP","Adv. Theor. Math. Phys. 5 (2001) 969-999",,,"math-ph math.MP",,"  We study the photoelectric effect on the example of a simplified model of an
atom with a single bound state, coupled to the quantized electromagnetic field.
For this model, we show that Einstein's prediction for the photoelectric effect
is qualitatively and quantitatively correct to leading order in the coupling
parameter. More specifically, considering the ionization of the atom by an
incident photon cloud consisting of $N$ photons, we prove that the total
ionized charge is additive in the $N$ involved photons. Furthermore, if the
photon cloud is approaching the atom from a large distance, the kinetic energy
of the ejected electron is shown to be given by the difference of the photon
energy of each single photon in the photon cloud and the ionization energy.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 00:06:05 GMT""}]","2007-05-23"
"math-ph/0210052","H. Spohn","F. Hiroshima and H. Spohn","Ground state degeneracy of the Pauli-Fierz Hamiltonian inlcuding spin","See also http://www.intlpress.com/ATMP","Adv. Theor. Math. Phys. 5 (2001) 1091-1104",,,"math-ph math.MP",,"  We consider an electron, spin 1/2, minimally coupled to the quantized
radiation field in the nonrelativistic approximation, a situation defined by
the Pauli-Fierz Hamiltonian $H$. There is no external potential and $H$ fibers
as $\int^\oplus H_p dp$ according to the total momentum $p$. We prove that the
ground state subspace of $H_p$ is two-fold degenerate provided the charge $e$
and the total momentum $p$ are sufficiently small. We also establish that the
total angular momentum of the ground state subspace is $\pm1/2$ and study the
case of a confining external potential.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 00:33:02 GMT""}]","2007-05-23"
"math-ph/0210053","Andrej Zlatos","Andrej Zlatos","The Szego Condition for Coulomb Jacobi Matrices",,,,,"math-ph math.MP",,"  A Jacobi matrix with $a_n\to 1$, $b_n\to 0$ and spectral measure $\nu'(x)dx +
d\nu_{sing}(x)$ satisfies the Szeg\H o condition if $\int_{0}^\pi \ln \bigl[
\nu'(2\cos\theta) \bigr] d\theta$ is finite. We prove that if $a_n = 1 + \frac
{\alpha}{n} + O(n^{-1-\eps})$ and $b_n = \frac {\beta}{n} + O(n^{-1-\eps})$
with $2\alpha \ge |\beta|$ and $\eps>0$, then the corresponding matrix is
Szeg\H o.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 02:11:16 GMT""}]","2007-05-23"
"math-ph/0210054","Andrej Zlatos","Andrej Zlatos","Sparse Potentials With Fractional Hausdorff Dimension",,,,,"math-ph math.MP",,"  We construct non-random bounded discrete half-line Schr\"" odinger operators
which have purely singular continuous spectral measures with fractional
Hausdorff dimension (in some interval of energies). To do this we use suitable
sparse potentials. Our results also apply to whole line operators, as well as
to certain random operators. In the latter case we prove and compute an exact
dimension of the spectral measures.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 02:28:07 GMT""}]","2007-05-23"
"math-ph/0210056","Sibel Baskal","S. Baskal and Y. S. Kim","Lens optics as an optical computer for group contractions","14 pages, RevTeX, no figures","Phys. Rev. E 67 (2003) 56601","10.1103/PhysRevE.67.056601",,"math-ph hep-th math.MP physics.optics quant-ph",,"  It is shown that the one-lens system in para-axial optics can serve as an
optical computer for contraction of Wigner's little groups and an analogue
computer which transforms analytically computations on a spherical surface to
those on a hyperbolic surface. It is shown possible to construct a set of
Lorentz transformations which leads to a two-by-two matrix whose expression is
the same as those in the para-axial lens optics. It is shown that the lens
focal condition corresponds to the contraction of the O(3)-like little group
for a massive particle to the E(2)-like little group for a massless particle,
and also to the contraction of the O(2,1)-like little group for a space-like
particle to the same E(2)-like little group. The lens-focusing transformations
presented in this paper allow us to continue analytically the spherical O(3)
world to the hyperbolic O(2,1) world, and vice versa.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 11:39:10 GMT""}]","2009-11-07"
"math-ph/0210057","Todd Tilma","Todd Tilma, E.C.G. Sudarshan","Generalized Euler Angle Parameterization for U(N) with Applications to
  SU(N) Coset Volume Measures","26 pages, no figures; minor edits, to be published in J. Geom. Phys","J. Geom. Phys. 52, 3 (2004) 263-283","10.1016/j.geomphys.2004.03.003",,"math-ph math.MP",,"  In a previous paper (math-ph/0205016) an Euler angle parameterization for
SU(N) was given. Here we present a generalized Euler angle parameterization for
U(N). The formula for the calculation of the volume for U(N), CP(N) as well as
other SU(N) and U(N) cosets will also be given. In addition, the mixed and pure
state product measures for N-dimensional density matrices under this
parameterization will also be derived.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:57:20 GMT""},{""version"":""v2"",""created"":""Fri, 22 Nov 2002 18:01:35 GMT""},{""version"":""v3"",""created"":""Sat, 14 Dec 2002 18:23:47 GMT""},{""version"":""v4"",""created"":""Tue, 28 Jan 2003 17:57:22 GMT""},{""version"":""v5"",""created"":""Fri, 12 Mar 2004 07:16:09 GMT""}]","2015-06-26"
"math-ph/0210058","Brian Winn","J. P. Keating, N. Linden, Z. Rudnick","Random matrix theory, the exceptional Lie groups, and L-functions","14 pages",,"10.1088/0305-4470/36/12/305",,"math-ph math.MP math.NT",,"  There has recently been interest in relating properties of matrices drawn at
random from the classical compact groups to statistical characteristics of
number-theoretical L-functions. One example is the relationship conjectured to
hold between the value distributions of the characteristic polynomials of such
matrices and value distributions within families of L-functions. These
connections are here extended to non-classical groups. We focus on an explicit
example: the exceptional Lie group G_2. The value distributions for
characteristic polynomials associated with the 7- and 14-dimensional
representations of G_2, defined with respect to the uniform invariant (Haar)
measure, are calculated using two of the Macdonald constant term identities. A
one parameter family of L-functions over a finite field is described whose
value distribution in the limit as the size of the finite field grows is
related to that of the characteristic polynomials associated with the
7-dimensional representation of G_2. The random matrix calculations extend to
all exceptional Lie groups
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:28:15 GMT""}]","2009-11-07"
"math-ph/0210059","Heide Narnhofer","Heide Narnhofer, Walter Thirring","Entanglement of mesoscopic systems",,,"10.1103/PhysRevA.66.052304",,"math-ph math.MP",,"  The entanglement of clouds of atoms recently experimentally verified is
expressed in terms of the fluctuation algebra introduced by Goderis, Verbeure
and Vets. A mean field Hamiltonian describing the coupling to a laser beam
leads to different time evolutions if considered on microscopic or mesoscopic
operators. Only the latter creates non trivial correlations that finally after
a measurement lead to entanglement between the clouds.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:50:24 GMT""}]","2009-11-07"
"math/0210440","Marco Kuehnel","Marco Kuehnel","A note on octic hypersurfaces with many nodes","6 pages; additional references",,,,"math.AG",,"  In the present note we use rank-2-bundles over ${\bb P}^3$ to construct octic
hypersurfaces with many nodes. We give an example with 128 nodes.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 16:05:25 GMT""},{""version"":""v2"",""created"":""Tue, 5 Nov 2002 17:29:03 GMT""},{""version"":""v3"",""created"":""Fri, 11 Jul 2003 13:39:24 GMT""}]","2007-05-23"
"math/0210446","Michael T. Anderson","Michael T. Anderson","On uniqueness and differentiability in the space of Yamabe metrics","9pp. This is a complete rewritting of the previous version on the
  same topic, with new title. The reasoning for (2.14) in v1 is incorrect, and
  this estimate remains an open problem",,,,"math.DG math.GT",,"  We prove that generically (positive) Yamabe metrics are unique in their
conformal class, and describe some sufficient conditions which imply that a
Yamabe metric of locally maximal scalar curvature is an Einstein metric.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 18:28:37 GMT""},{""version"":""v2"",""created"":""Sat, 27 Sep 2003 15:41:51 GMT""},{""version"":""v3"",""created"":""Tue, 7 Jun 2005 12:27:15 GMT""}]","2007-05-23"
"math/0210447","Gail Letzter","Gail Letzter","Quantum Zonal Spherical Functions and Macdonald Polynomials","Minor revisions, changes to section 7",,,,"math.QA math.RT",,"  A unified theory of quantum symmetric pairs is applied to q-special
functions. Previous work characterized certain left coideal subalgebras in the
quantized enveloping algebra and established an appropriate framework for
quantum zonal spherical functions. Here a distinguished family of such
functions, invariant under the Weyl group associated to the restricted roots,
is shown to be a family of Macdonald polynomials, as conjectured by Koornwinder
and Macdonald. Our results place earlier work for Lie algebras of classical
type in a general context and extend to the exceptional cases.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 18:57:18 GMT""},{""version"":""v2"",""created"":""Wed, 19 Feb 2003 22:23:19 GMT""}]","2007-05-23"
"math/0210448","Ken Dykema","Scott Armstrong, Ken Dykema, Ruy Exel and Hanfeng Li","On embeddings of full amalgamated free product C*-algebras","This is a second revision, including a significant expansion of both
  the sufficient conditions for embeddings of full free product C*-algebras and
  of the classes of examples that fail to yield embeddings",,,,"math.OA",,"  We examine the question of when the *-homomorphism of full amalgamated free
product C*-algebras \lambda: A *_D B --> A' *_{D'} B', arising from compatible
inclusions of C*-algebras A in A', B in B' and D in D', is an embedding.
Results giving sufficient conditions for \lambda to be injective, as well of
classes of examples where \lambda fails to be injective, are obtained. As an
application, we give necessary and sufficient condition for the full
amalgamated free product of finite dimensional C*-algebras to be residually
finite dimensional.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 19:16:45 GMT""},{""version"":""v2"",""created"":""Mon, 25 Nov 2002 16:46:54 GMT""},{""version"":""v3"",""created"":""Wed, 12 Feb 2003 03:16:20 GMT""}]","2007-05-23"
"math/0210449","Florentin Smarandache","M. Khoshnevisan, Florentin Smarandache, Sukanto Bhattacharya","Computational Exploration of Investor Utilities Underlying a Portfolio
  Insurance Strategy","24 pages, 28 tables, 3 graphs","Studii si Cercetari Stiintifice, Series: Mathematics, No. 14,
  179-200, 2004.",,,"math.GM",,"  In this paper we take a look at a simple portfolio insurance strategy using a
protective put and computationally derive the investor's governing utility
structures underlying such a strategy under alternative market scenarios.
Investor utility is deemed to increase with an increase in the excess equity
generated by the portfolio insurance strategy over a simple investment strategy
without any insurance. Three alternative market scenarios (probability spaces)
have been explored -- 'Down', 'Neutral' and 'Up', categorized according to
whether the price of the underlying security is most likely to go down, stay
unchanged or go up. The methodology used is computational, primarily based on
simulation and numerical extrapolation. The Arrow-Pratt measure of risk
aversion has been used to determine how the investors react towards risk under
the different scenarios.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 00:29:46 GMT""}]","2007-05-23"
